TCP,EEBO,VID,STC,Status,Author,Name 1,Name 2,Gender (manual),Name 3,Date,Title,Terms,Pages
K012010.000,,,,Free,"Anderson, John, ca. 1730-1804.",Anderson, John,male, ca. 1730-1804.,1795,"A preliminary introduction to the act of sea-bathing: wherein is shewn its nature, power, and importance; ... By John Anderson, ...",,28
K013026.000,,,,Free,"Perfect, William, 1737-1809.",Perfect, William,male, 1737-1809.,1791,"A remarkable case of madness: with the diet and medicines, used in the cure. By William Perfect, ...",,61
K013028.000,,,,Free,"Dease, William, 1752?-1798.",Dease, William,male, 1752?-1798.,1793,Remarks on medical jurisprudence: intended for the general information of juries and young surgeons.,,40
K013038.000,,,,Free,"Jerningham, Mr. (Edward), 1737?-1812.",Jerningham, Mr. (Edward),male, 1737?-1812.,1791,"The Shakspeare gallery, a poem: By Mr. Jerningham.",,31
K013093.000,,,,Free,"Pearson, Richard, 1765-1836.",Pearson, Richard,male, 1765-1836.,1795,"A short account of the nature and properties of different kinds of airs: so far as relates to their medicinal use; intended as an introduction to the pneumatic method of treating diseases, ... By Richard Pearson, ...",,32
K013141.000,,,,Free,"Hoare, Prince, 1755-1834.",Hoare, Prince,male, 1755-1834.,1794,"My grandmother: a musical farce, in two acts, as performed at the Theatre Royal, Hay Market. The music composed by Mr. Storace.",,20
K013196.000,,,,Free,"Leny, R.",Leny, R., R.,,1792,"Remarkable case of a boy, who lost a considerable portion of brain: and is recovered, without detriment to any faculty, mental or corporeal. By R. Leny.",,19
K013509.000,,,,Free,"O'Keeffe, John, 1747-1833.",O'Keeffe, John,male, 1747-1833.,1795,"The siege of Troy: or, famous Trojan horse, a grand heroic, ... spectacle, in two parts, ... as performing ... at the new amphitheatre of arts, Westminster-bridge, under the immediate direction ... of Mr. Astley, jun.",,15
K013690.000,,,,Free,"Francis, Philip, Sir, 1740-1818.; Great Britain. Parliament.",Francis, Philip,male," Sir, 1740-1818.; Great Britain. Parliament.",1796,"Speech of Philip Francis, Esq. in the House of Commons, on Friday, February 26, 1796: on the motion, ""that it appears to this House, that the principle of making loans for the public service, by free and open competition, ... has been very generally recognised, as affording the fairest prospect of public advantage."".",,18
K014256.000,,,,Free,"O'Keeffe, John, 1747-1833.",O'Keeffe, John,male, 1747-1833.,1797,"The Wicklow mountains: or, the lad of the hills, a comic opera, in two acts. Written by O'Keeffe.",,46
K014420.000,,,,Free,"Jerningham, Mr. (Edward), 1737?-1812.",Jerningham, Mr. (Edward),male, 1737?-1812.,1795,"The Welch heiress, a comedy",,84
K015461.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1791,Definition of a constitution: By Thomas Paine. ...,,14
K015523.000,,,,Free,"Cumberland, Richard, 1732-1811.",Cumberland, Richard,male, 1732-1811.,1796,"The days of yore: a drama in three acts. Performed at the Theatre-Royal, Covent-Garden. By Richard Cumberland, Esq.",,50
K015773.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1794,"The age of reason: being an investigation of true and fabulous theology, by Thomas Paine. ...; Age of reason.",,120
K015852.000,,,,Free,"Murphy, Arthur, 1727-1805.",Murphy, Arthur,male, 1727-1805.,1798,"Arminius: or the champion of liberty, a tragedy. With an historical preface. By Arthur Murphy, Esq.",,128
K016530.000,,,,Free,"Lettsom, John Coakley, 1744-1815.",Lettsom, John Coakley, John Coakley, 1744-1815.,1791,"History of some of the effects of hard drinking: The sixth edition. By J. C. Lettsom, ...",,16
K016912.000,,,,Free,"Burke, Edmund, 1729-1797.",Burke, Edmund,male, 1729-1797.,1792,"Mr. Burke's speech, in Westminster-Hall, on the 18th and 19th of February, 1788: with explanatory notes. ... With a preface, ...",,102
K017275.002,,,,Free,"Edgeworth, Maria, 1767-1849.",Edgeworth, Maria, Maria, 1767-1849.,1796,"The parent's assistant; or, stories for children. Part. II.; Parent's assistant.",,174
K019390.000,,,,Free,"Randall, William.",Randall, William., William.,,1795,"Medical observations, adapted to the medicine chests: fitted out by William Randall, chemist, Southampton.",,30
K019588.000,,,,Free,"More, Hannah, 1745-1833.",More, Hannah,female, 1745-1833.,1790,The happy waterman,,12
K019770.001,,,,Free,"Hogarth, William, ill. 1697-1764,; Harrison & Co.,",Hogarth, William,male," ill. 1697-1764,; Harrison & Co.,",1797,"The comick magazine; or, Compleat library: of mirth, humour, wit, gaiety, and entertainment. By the greatest wits of all ages & nations. Enriched with Hogarth's celebrated ... prints.","Anecdoetes -- England; English wit and humor; Satire, English; Periodicals -- 18th century. -- England",269
K019867.000,,,,Free,"Morton, Thomas, 1764-1838.",Morton, Thomas,male, 1764-1838.,1792,"Columbus: or, a world discovered. An historical play. As it is performed at the Theatre-Royal, Covent-Garden. By Thomas Morton, ...",,74
K020360.000,,,,Free,"Pennant, Thomas, 1726-1798.",Pennant, Thomas,male, 1726-1798.,1793,"The literary life of the late Thomas Pennant, Esq. By himself",,148
K020370.000,,,,Free,"Pennant, Thomas, 1726-1798.",Pennant, Thomas,male, 1726-1798.,1791,Indian zoology,,175
K020588.000,,,,Free,"Brand, John, d. 1808.",Brand, John,male, d. 1808.,1796,"A defence of the pamphlet ascribed to John Reeves, Esq. and entitled, ""Thoughts on the English government."" By the Rev. J. Brand, A.M. Addressed to the members of the loyal associations against Republicans and Levellers",,105
K021509.000,,,,Free,"Andrews, Miles Peter, d. 1814.",Andrews, Miles Peter, Miles Peter, d. 1814.,1795,"The mysteries of the castle: a dramatic tale, in three acts: as performed at the Theatre-Royal, Covent-Garden. Written by Miles Peter Andrews, Esq.",,93
K021676.000,,,,Free,"Burke, Edmund, 1729-1797.",Burke, Edmund,male, 1729-1797.,1796,"A letter from the Right Honourable Edmund Burke to a noble lord: on the attacks made upon him and his pension, in the House of Lords, by the Duke of Bedford and the Earl of Lauderdale, early in the present sessions of Parliament.",,84
K021812.000,,,,Free,"Brand, John, d. 1808.",Brand, John,male, d. 1808.,1790,Political observations on the Test Act,,60
K022555.000,,,,Free,"Colman, George, 1762-1836.",Colman, George,male, 1762-1836.,1795,"New hay at the old market: an occassional drama, in one act: written by George Colman, (the younger, ) on opening the Hay-Market Theatre. On the 9th of June, 1795.",,31
K022848.000,,,,Free,"Spence, Thomas, 1750-1814.",Spence, Thomas,male, 1750-1814.,1796,"The meridian sun of liberty; or, the whole rights of man displayed and most accurately defined, in a lecture read at the Philosophical Society in Newcastle, on the 8th of November, 1775, ... To which is now first prefixed, by way of preface, a most important dialogue between the citizen reader, and the author. By T. Spence",,12
K022849.000,,,,Free,"Spence, Thomas, 1750-1814.",Spence, Thomas,male, 1750-1814.,1795,The end of oppression: being a dialogue between an old mechanic and a young one. Concerning the establishment of the rights of man.,,12
K022898.000,,,,Free,"Gilpin, William, 1724-1804.",Gilpin, William,male, 1724-1804.,1798,"Observations on the western parts of England, relative chiefly to picturesque beauty: To which are added, a few remarks on ... the Isle of Wight. By William Gilpin, ...",,363
K023225.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1792,"Paine's four letters. Letters on government: including both his letters to Mr. Dundas; with two letters to Lord Onslow, and two from Paris. By Thomas Paine, ... to which are prefixed anecdotes of his life",,35
K023226.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1791,"Address and declaration, of the friends of universal peace and liberty: held at the Thatched House Tavern, St. James's Street. August 20th. 1791. By Thomas Paine, ... Together with some verses, by the same author, ...",,8
K023227.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1792,"Paine's address to the republic of France; September 25, 1792",,16
K023234.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1797,"Agrarian justice opposed to agrarian law: and to agrarian monopoly; being a plan for meliorating the condition of man, by creating in every nation a national fund, ... By Thomas Paine, ...",,24
K023236.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1798,Atheism refuted: in a discourse to prove the existence of a God.,,18
K023237.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1798,"A discourse delivered by Thomas Paine, at the Society of the Theophilanthropists, at Paris, 1798; Atheism refuted",,18
K023249.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1795,"Dissertation on first-principles of government: by Thomas Paine, ...",,39
K023259.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1792,"Letter addressed to the addressers, on the late proclamation: By Thomas Paine, ...",,78
K023262.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1797,"A letter to George Washington: on the subject of the late treaty concluded between Great-Britain and the United States of America, including other matters. By Thomas Paine, ...",,39
K023264.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1792,A letter to Mr. Secretary Dundas. In answer to his speech on the late proclamation. By Thomas Paine; Letter to Mr. Henry Dundas,,23
K023272.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1797,"A letter to the Honourable Thomas Erskine: on the prosecution of Thomas Williams, for publishing The age of reason. ...",,30
K023275.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1793,"Prospects on the war and paper currency: By Thomas Paine, ...; Prospects on the Rubicon",,72
K023278.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1791,"Rights of man: being an answer to Mr. Burke's attack on the French revolution. Second edition. By Thomas Paine, ...",,173
K023287.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1792,"Rights of man. Part the second. Combining principle and practice. By Thomas Paine,",,193
K023296.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1792,"The genuine trial of Thomas Paine: for a libel contained in the second part of Rights of man; at Guildhall, London, Dec. 18, 1792, before Lord Kenyon and a special jury: ... Taken in short-hand by E. Hodgson.",,118
K023299.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1792,"The trial of Thomas Paine: for a libel, contained in The second part of rights of man, before Lord Kenyon, and a special jury, at Guildhall, December 18. With the speeches of the Attorney General and Mr. Erskine, at large.",,46
K023302.000,,,,Free,"Paine, Thomas, 1737-1809.",Paine, Thomas,male, 1737-1809.,1793,"The whole proceedings on the trial of an information exhibited ex officio by the King's Attorney-General against Thomas Paine: for a libel upon the Revolution and settlement of the Crown and regal government as by law established; ... Tried by a special jury in the Court of King's Bench, Guildhall, on Tuesday, the 18th of December, 1792. ... Taken in short-hand by Joseph Gurney.",,195
K023394.000,,,,Free,"Hoare, Prince, 1755-1834.",Hoare, Prince,male, 1755-1834.,1793,"Love's victims: the hermit's story. By the author of The prize, No song no supper, &c",,45
K023576.000,,,,Free,"Ritson, Joseph, 1752-1803.",Ritson, Joseph,male, 1752-1803.,1792,Cursory criticisms on the edition of Shakspeare published by Edmond Malone,,115
K023596.000,,,,Free,"Bischoff, Frederick.",Bischoff, Frederick., Frederick.,,1793,"A treatise on the extraction of the cataract. By Frederick Bischoff,",,90
K023755.000,,,,Free,"Spence, Thomas, 1750-1814.",Spence, Thomas,male, 1750-1814.,1793,"Burke's address to the ""swinish*"" multitude! Tune ""Derry down, down,"" &c",,1
K024207.000,,,,Free,"Waldron, F. G. (Francis Godolphin), 1744-1818.",Waldron, F. G. (Francis Godolphin), F. G. (Francis Godolphin), 1744-1818.,1798,"The man with two wives: or, wigs for ever! A dramatick fable; by F. G. Waldron. Set to musick by Mr. Sanderson. And first performed at the Royalty Theatre, Saturday, March 24th. 1798.",,13
K024381.000,,,,Free,"Kemble, John Philip, 1757-1823.",Kemble, John Philip, John Philip, 1757-1823.,1794,"Lodoiska: an opera, in three acts, perfomed, for the first time, by His Majesty's Servants, at the Theatre Royal, Drury-Lane, on Monday, June 9th. 1794. Written by J. P. Kemble. ...",,57
K024662.000,,,,Free,"Jerningham, Mr. (Edward), 1737?-1812.",Jerningham, Mr. (Edward),male, 1737?-1812.,1789,Enthusiasm: a poem. In two parts. By Mr. Jerningham,,36
K024906.000,,,,Free,"Pope, Alexander, 1688-1744.",Pope, Alexander,male, 1688-1744.,1793,Pastorals. By Alexander Pope,,13
K025532.001,,,,Free,"Cumberland, Richard, 1732-1811.",Cumberland, Richard,male, 1732-1811.,1789,Arundel: By the author of The observer. ...,,297
K025532.002,,,,Free,"Cumberland, Richard, 1732-1811.",Cumberland, Richard,male, 1732-1811.,1789,Arundel: By the author of The observer. ...,,301
K025595.000,,,,Free,"Buchan, William, 1729-1805.",Buchan, William,male, 1729-1805.,1790,"A letter to the patentee, concerning the medical properties of the fleecy hosiery: By William Buchan,...",,19
K025723.000,,,,Free,"Berkeley, George, 1733-1795.",Berkeley, George,male, 1733-1795.,1791,"An inquiry into the origin of episcopacy, in a discourse preached in June, 1790. By a dignitary of the Church of England",,46
K025748.000,,,,Free,"Gilpin, William, 1724-1804.",Gilpin, William,male, 1724-1804.,1797,"The Lord's cup: or, the dispensations of providence with regard to good and evil, considered in a sermon; by William Gilpin,...",,13
K026247.000,,,,Free,"Boswell, James, 1740-1795.",Boswell, James,male, 1740-1795.,1790,"A conversation between His most sacred Majesty George III. and Samuel Johnson, LL.D. Illustrated with observations, by James Boswell, Esq",,8
K026311.000,,,,Free,"Gilpin, William, 1724-1804.",Gilpin, William,male, 1724-1804.,1798,"An explanation of the duties of religion, for the use of Boldre School, in New Forest. N.B. The small paper prefixed, which is the ground-work of this explanation, is distributed in little books among the children of the parish,",,39
K027591.000,,,,Free,"Macklin, Charles, 1697?-1797.",Macklin, Charles,male, 1697?-1797.,1791,"Proposals for publishing by subscription The man of the world, a comedy, in five acts; and, Love a la mode, a comedy, in two acts, written by Mr. Charles Macklin.; Man of the world.",,4
K027597.000,,,,Free,"Webster, Charles, 1750-1795.",Webster, Charles,male, 1750-1795.,1793,"Facts, tending to show the connection of the stomach with life, disease, and recovery",,62
K028419.000,,,,Free,"Waldron, F. G. (Francis Godolphin), 1744-1818.",Waldron, F. G. (Francis Godolphin), F. G. (Francis Godolphin), 1744-1818.,1789,"The King in the country. A dramatic piece, in two acts. Acted at the Theatres-Royal, at Richmond and Windsor, 1788",,30
K028664.000,,,,Free,"Brand, John, d. 1808.",Brand, John,male, d. 1808.,1796,"An historical essay on the principles of political associations in a state: ... in a comparative view of the associations of the year 1792, and that recently instituted by the Whig club. By the Rev. John Brand, M.A.",,148
K029293.000,,,,Free,"Reynolds, Frederick, 1764-1841.",Reynolds, Frederick, Frederick, 1764-1841.,1799,"Management: a comedy, in five acts. As performed at the Theatre-Royal, Covent-Garden. By Frederick Reynolds.",,87
K029296.000,,,,Free,"Reynolds, Frederick, 1764-1841.",Reynolds, Frederick, Frederick, 1764-1841.,1795,"The rage: a comedy: As it is performed at the Theatre-Royal, Covent-Garden. By Frederick Reynolds.",,97
K029625.000,,,,Free,"Jerningham, Mr. (Edward), 1737?-1812.",Jerningham, Mr. (Edward),male, 1737?-1812.,1792,Abelard to Eloisa: a poem. By Mr. Jerningham.,,23
K029715.000,,,,Free,"Cumberland, Richard, 1732-1811.",Cumberland, Richard,male, 1732-1811.,1792,"Calvary: or the death of Christ. A poem, in eight books. By Richard Cumberland.",,293
K029722.000,,,,Free,"Sheridan, Richard Brinsley, 1751-1816.",Sheridan, Richard Brinsley,male, 1751-1816.,1795,"The camp: a musical entertainment, as performed at the Theatre Royal, Drury Lane. By R. B. Sheridan, Esq.",,31
K029768.000,,,,Free,"Hoare, Prince, 1755-1834.",Hoare, Prince,male, 1755-1834.,1799,"The captive of Spilburg in two acts: as performed at the Theatre Royal, Drury Lane, altered from the favourite French drama called Le souterrain, with a preface by the translator. The music by Dussek.",,54
K030147.000,,,,Free,"Hoare, Prince, 1755-1834.",Hoare, Prince,male, 1755-1834.,1796,"Lock and key: a musical entertainment, in two acts, as performed at the Theatre Royal, Covent-Garden. By Prince Hoare, Esq. ... Correctly taken from the prompt-book.",,46
K030155.000,,,,Free,"Inchbald, Mrs., 1753-1821.",Inchbald, Mrs.,female, 1753-1821.,1796,Nature and art: By Mrs. Inchbald.,,288
K030158.000,,,,Free,"Inchbald, Mrs., 1753-1821.",Inchbald, Mrs.,female, 1753-1821.,1791,"Next door neighbours; a comedy: in three acts. From the French dramas L'indigent & Le dissipateur. As performed at the Theatre-Royal, Hay-Market. By Mrs. Inchbald.",,68
K030162.000,,,,Free,"Inchbald, Mrs., 1753-1821.",Inchbald, Mrs.,female, 1753-1821.,1797,"Wives as they were: and maids as they are, a comedy, in five acts. Performed at the Theatre Royal, Covent-Garden. By Mrs. Inchbald.",,69
K030166.000,,,,Free,"Jephson, Robert, 1736-1803.",Jephson, Robert,male, 1736-1803.,1794,"Roman portraits, a poem, in heroick verse; with historical remarks and illustrations: by Robert Jephson, Esq",,331
K030458.000,,,,Free,"Lee, Sophia, 1750-1824.",Lee, Sophia, Sophia, 1750-1824.,1796,"Almeyda, Queen of Granada: A tragedy, in five acts. By Sophia Lee. As performed at the Theatre Royal, Drury-Lane.",,70
K030489.000,,,,Free,"More, Hannah, 1745-1833.",More, Hannah,female, 1745-1833.,1796,"The bad bargain: or, the world set up to sale.",,7
K030565.001,,,,Free,"Burke, Edmund, 1729-1797.",Burke, Edmund,male, 1729-1797.,1798,"The beauties of the late Right Hon. Edmund Burke, selected from the writings, &c. of that extraordinary man, ... To which is prefixed, a sketch of the life, with some original anecdotes of Mr. Burke. In two volumes.",,316
K030565.002,,,,Free,"Burke, Edmund, 1729-1797.",Burke, Edmund,male, 1729-1797.,1798,"The beauties of the late Right Hon. Edmund Burke, selected from the writings, &c. of that extraordinary man, ... To which is prefixed, a sketch of the life, with some original anecdotes of Mr. Burke. In two volumes.",,337
K030629.000,,,,Free,"More, Hannah, 1745-1833.",More, Hannah,female, 1745-1833.,1795,"Betty Brown, the St. Giles's orange girl:",,15
K030760.000,,,,Free,"Wallis, George, 1740-1802.",Wallis, George,male, 1740-1802.,1790,"Annual oration, delivered March 8th, 1790, before the Medical Society,",,63
K031002.000,,,,Free,"More, Hannah, 1745-1833.",More, Hannah,female, 1745-1833.,1796,"The apprentice turned master: or, the second part of the two shoemakers. ...; Two shoemakers.",,16
K031003.000,,,,Free,"More, Hannah, 1745-1833.",More, Hannah,female, 1745-1833.,1795,"The apprentice's monitor; or, indentures in verse, shewing what they are bound to do",,1
K031233.000,,,,Free,"More, Hannah, 1745-1833.",More, Hannah,female, 1745-1833.,1789,Bishop Bonner's ghost,,6
K032221.000,,,,Free,"Jones, John Gale, 1769-1838.",Jones, John Gale, John Gale, 1769-1838.,1794,"Observations on the tussis convulsiva: or hooping cough, as read at the Lyceum Medicum Londinense. ... By John Gale Jones.",,34
K032774.000,,,,Free,"Paley, William, 1743-1805.",Paley, William,male, 1743-1805.,1790,"The use and propriety of local and occasional preaching: a charge, delivered to the clergy of the diocese of Carlisle, in the year 1790, by William Paley, ...",,29
K033182.000,,,,Free,"Jephson, Robert, 1736-1803.",Jephson, Robert,male, 1736-1803.,1796,"Conspiracy, a tragedy. By R. Jephson, Esq",,93
K033266.000,,,,Free,"Spilsbury, Francis.",Spilsbury, Francis., Francis.,,1789,"Advice to those who are afflicted with the venereal disease: Containing the symptoms at large, with practical notes, and advice to them while under cure. Also, methods of preventing any future infection, in either sex. By F. B. Spilsbury, ...",,31
K033556.000,,,,Free,"More, Hannah, 1745-1833.",More, Hannah,female, 1745-1833.,1796,Jack Brown in prison: ... Being the fourth part of the history of the two shoemakers.; Two shoemakers.,,21
