TITLE,AUTHOR,DATE,PUBPLACE,PUBLISHER,DLPS,ESTC,DocNo,TCP,GaleDocNo
"The fate of Sparta: or, the rival kings. A tragedy. As it is acted at the Theatre-Royal, in Drury-Lane. By Mrs. Cowley.","Cowley, Mrs. (Hannah), 1743-1809.",1788.,London :,"printed for G. G. J. and J. Robinson,",004803506,T35438,CW110245178,K037302.000,CW3310245178
"A tour thro' the whole island of Great Britain: Divided into circuits or journeys. Giving a particular and entertaining account of whatever is curious, and worth observation; ... By a gentleman. ...","Defoe, Daniel, 1661?-1731.",1742.,London :,"printed for J. Osborn, S. Birt, D. Browne, J. Hodges, A. Millar, J. Whiston, and J. Robinson,",004843899,T70851,CW100650147,K060142.003,CW3300650949
"The Roman history: from the foundation of the city of Rome, to the destruction of the western Empire. By Dr. Goldsmith. In two volumes.","Goldsmith, Oliver, 1730?-1774.",1769.,London :,"printed for S. Baker and G. Leigh, T. Davies; and L. Davis,",004897260,T146144,CW101936451,K113641.002,CW3301936451
"Practical hints on opium considered as a poison: By R. Hamilton, ...","Hamilton, Robert, 1749-1830.",1790.,Ipswich :,"printed and sold by G. Jermyn,",004873660,T112342,CW106723587,K089963.000,CW3306723587
"The old women weatherwise, an interlude: as performed at the Theatre Royal in Drury-Lane.","Carey, George Saville, 1743-1807.",1770.,London :,"printed for S. Bladon,",004852197,T83949,CW110148032,K068460.000,CW3310148032
"Dissertations on government, the affairs of the bank, and paper-money: By the author of Common sense.","Paine, Thomas, 1737-1809.","M,DCC,LXXXVI. [1786]",Philadelphia :,"Printed by Charles Cist, at the corner of Fourth and Arch-Streets. And sold by Messrs. Hall & Sellers, Robert Aitken and William Prichard in Market-Steet,",004829979,W8587,CW107688218,K133430.000,CW3307688218
"The power of water-dock against the scurvy: whether in the plain root or essence. With marks to know that disease in all its states; instances of its being mistaken for other disorders; and rules of life for those afflicted with it. By J. Hill, ...","Hill, John, 1714?-1775.",1765.,London :,"printed for R. Baldwin, and J. Ridley,",004777091,N20859,CW108567223,K012240.000,CW3308567223
The Princess of Zanfara: a dramatic poem.,"Hutchinson, William, 1732-1814.",1789.,London :,"printed for Mess. Wilkie,",004845582,T73130,CW109732955,K061830.000,CW3309732955
"An account of the proceedings against the rebels, and other prisoners, tried before the Lord Chief Justice Jefferies: and other judges in the west of England, in 1685. for taking arms under the Duke of Monmouth. ... To which is prefix'd, the Duke of Monmouth's, the Earl of Argyle's, and the Pretender's declarations, that the reader may the better judge of the cause of the several rebellions.","Defoe, Daniel, attributed name. 1661?-1731,",1716.,London :,"printed for Andrew Bell; and J. Baker, and Tho. Warner,",004840465,T65958,CW101703459,K056694.000,CW3301703459
"A narrative of the method by which the private letters of Mr. Pope have been procur'd and publish'd by Edmund Curll, bookseller. NB. The original papers, in Curl's own hand, may be seen at T. Cooper's:","Pope, Alexander, 1688-1744.",1735.,London :,"printed for T. Cooper,",004809281,T5693,CW105050439,K023149.000,CW3305050439
Poems on several occasions. Written by a young lady:,"Lennox, Charlotte, ca. 1729-1804.",1747.,London :,"printed for, and sold by S. Paterson,",004893786,T139692,CW112576476,K110146.000,CW3312576476
"A supplement to The State of the expedition from Canada: containing General Burgoyne's orders, respecting the principal movements, ... of the army to the raising of the siege of Ticonderoga.","Burgoyne, John, 1722-1792.",1780.,London :,"printed for J. Robson; T. Becket; and R. Baldwin,",004874417,T113281,CW100581932,K090722.000,CW3300581932
"The history and description of the famous cathedral of St. Paul's, London:","Boreman, Thomas, fl. 1730-1743.",1741.,[London] :,"Printed for Tho. Boreman, London,",004877991,T117671,CW103720346,K094305.002,CW3303720472
"The discovery: or, the squire turn'd ferret: An excellent new ballad. To the tune of High boys! up go we; Chevy Chase; or what you please.","Pope, Alexander, 1688-1744.",1727 [1726],Westminster :,"printed by A. Campbell; for T. Warner, and sold by the booksellers,",004809143,T5529,CW112480308,K023021.000,CW3312480308
Mr. Maitland's account of inoculating the small pox:,"Arbuthnot, John, 1667-1735.",1722.,London :,"printed for the author, by J. Downing: and to be sold by J. Roberts,",004807320,T41553,CW107118725,K040928.000,CW3307118725
"Three essays: on picturesque beauty; on picturesque travel; and on sketching landscape: to which is added a poem, on landscape painting. By William Gilpin, ...","Gilpin, William, 1724-1804.",1792.,London :,"printed for R. Blamire,",004863369,T99006,CW106408718,K079648.000,CW3306408718
Amana. A dramatic poem. By a lady:,"Griffith, Mrs. (Elizabeth), 1720?-1793.",1764.,London :,"printed by T. Harrison; for W. Johnston,",004796053,T21796,CW111074450,K030677.000,CW3311074450
Additions and corrections to the first and second editions of Dr. Adam Smith's Inquiry into the Nature and causes of the wealth of nations:,"Smith, Adam, 1723-1790.",1784],"[London?,",,004861573,T96670,CW104916822,K077850.000,CW3304916822
"A poem on the marriage of His serene Highness the Prince of Orange: with Ann Princess-Royal of Great Britain. By Stephen Duck. To which are added, Verses to the author, by a divine. With the author's answer.","Duck, Stephen, 1705-1756.",1733/4 [i.e. 1734],London :,"printed for Weaver Bickerton,",004771210,N11676,CW109783604,K007022.000,CW3309783604
"The history of Arsaces, Prince of Betlis: By the editor of Chrysal. In two volumes. ...","Johnstone, Charles, 1719?-1800?",1774.,London :,"printed for T. Becket,",004878235,T117967,CW114215950,K094550.002,CW3314216275
"The theory of moral sentiments: By Adam Smith, ...","Smith, Adam, 1723-1790.",1759.,London :,"printed for A. Millar; and A. Kincaid and J. Bell, in Edinburgh,",004894986,T141578,CW120137304,K111361.000,CW3320137304
Bill of health:,,[1785?],Southampton :,"printed for A. Cunningham; Salisbury: printed for J. Fowler,",004796038,T21743,CW115366681,K030667.000,CW3315366681
"Plain directions for the treatment of wounds in general: With methods of stopping violent bleedings in cases of large wounds ... to which are added remarks on suspended animation, ... By Bernard Ogden, ...","Ogden, Bernard, b. 1767.",1797.,Sunderland :,"printed by T. Reed, bookseller,",004827525,T224552,CW109397067,K131806.000,CW3309397067
"The hotel: or, the servant with two masters. As it was performed at the Theatre-Royal, Smock-Alley, with distinguished applause:","Jephson, Robert, 1736-1803.",1783.,Cork :,"printed for Anthony Edwards,",004777325,N2120,CW109542864,K001382.000,CW3309542864
"The prodigal. A dramatic piece. As performed at the Theatre-Royal, in the Hay-Market, December 2, 1793:","Waldron, F. G. (Francis Godolphin), 1744-1818.",1794.,London :,"printed for T. Arrowsmith; and sold by B. Crosby,",004899540,T44546,CW113788839,K042710.000,CW3313788839
A philosophical essay on man: Being an attempt to investigate the principles and laws of the reciprocal influence of the soul on the body. ...,"Marat, Jean Paul, 1743-1793.",1773.,London :,"printed for J. Ridley; and T. Payne,",004807815,T42262,CW120918261,K041371.002,CW3321064665
"Three weeks after marriage: a comedy, in two acts, as performed at the Theatre-Royal in Covent Garden.","Murphy, Arthur, 1727-1805.",[1775?],London :,"printed for E. Johnson,",004827535,T224568,CW107696075,K131816.000,CW3307696075
"The roguish miller; or, nothing got by cheating: A true ballad:","More, Hannah, 1745-1833.",[1800?],[Bath] :,"Orders sent to S. Hazard, Bath, printer. - These tracts may also be had of R. White; and J. Marshall, London; J. Cottle, Bristol; and of all booksellers, newsmen, and hawkers, in town and country,",004821689,T194206,CW114084430,K125843.000,CW3314084430
The prospect: being the fifth part of Liberty. A poem. By Mr. Thomson:,"Thomson, James, 1700-1748.",1736.,London :,"printed for A. Millar,",004900356,T46011,CW116667405,K043527.000,CW3316667405
"The golden age, a poetical epistle: from Erasmus D-n, M.D. to Thomas Beddoes, M.D.","Darwin, Erasmus, 1731-1802.",1794.,London :,"printed for F. and C. Rivington; and J. Cooke, Oxford,",004787540,N7154,CW116871934,K004299.000,CW3316871934
"A discourse addressed to magistrates and men in authority: Occasioned by the enormous licence, and irreligion of the times.","Berkeley, George, 1685-1753.",1738.,Dublin :,"printed by George Faulkner,",004801266,T31916,CW104167919,K035180.000,CW3304167919
An epistle to the author of The four farthing candles: By the author of The Rosciad of C-v-nt-G-rd-n.,"Churchill, Charles, 1731-1764.",1762.,London :,"printed for the author, and sold by J. Gretton; and W. Nicoll,",004773953,N1512,CW110969278,K000944.000,CW3310969278
"Pamela: or, virtue rewarded. In a series of familiar letters from a beautiful young damsel to her parents: and afterwards, in her exalted condition, between her, and persons of figure and quality, ... The third and fourth volumes. ... By the editor of the two first. ...","Richardson, Samuel, 1689-1761.",1742 [1741],London :,"printed for S. Richardson: and sold by C. Rivington ; and J. Osborn,",004873067,T111391,CW111671076,K089369.004,CW3311671500
The siege of Aquileia: A tragedy. As it is acted at the Theatre-Royal in Drury-Lane.,"Home, John, 1722-1808.",1760.,Dublin :,"printed for G. and A. Ewing,",004864577,T100471,CW111519675,K080858.000,CW3311519675
"The modish wife, a comedy: performed with uninfluenced applause at the Theatre-Royal, Haymarket. To which is prefixed a summary view of the stage, as it has been, is, and ought to be. With biographical anecdotes of Messrs. Mossop, Dexter, Derrick, and the author, ...","Gentleman, Francis, 1728-1784.",[1775],London :,"sold by T. Evans; and J. Bell,",004842958,T69418,CW113780959,K059195.000,CW3313780959
"The statues: or, the trial of constancy. A tale for the ladies:","Pilkington, Laetitia, 1712-1750.",1739.,London :,"printed for T. Cooper,",004902093,T48642,CW114903277,K045265.000,CW3314903277
British zoology: ...,"Pennant, Thomas, 1726-1798.",1768-70.,London :,"printed for Benjamin White,",004898599,T148771,CW109912202,K114986.003,CW3309609037
"The remarkable effects of fixed air in mortifications of the extremities: To which is added, the history of some worm-cases. By John Harrison, surgeon, ...","Harrison, John, fl. 1784-1792.",1785.,London :,"printed by Baker and Galabin,",004815167,T168763,CW108619832,K119273.000,CW3308619832
"The genuine trial of Thomas Paine: for a libel contained in the second part of Rights of man; at Guildhall, London, Dec. 18, 1792, before Lord Kenyon and a special jury: ... Taken in short-hand by E. Hodgson.","Paine, Thomas, 1737-1809.",1792.,London :,"printed for J. S. Jordan,",004809443,T5894,CW124233556,K023296.000,CW3324233556
"Humanity, or the rights of nature, a poem; in two books. By the author of Sympathy:","Pratt, Mr. (Samuel Jackson), 1749-1814.",1788.,London :,"printed for T. Cadell,",004804259,T36737,CW113771078,K038048.000,CW3313771078
"The general history of printing: from its first invention in the city of Mentz, to its first progress and propagation thro' the most celebrated cities in Europe. ... By S. Palmer, ...","Palmer, Samuel, d. 1732.",1732.,London :,"printed by the author, and sold by his widow: also by J. Roberts, and by most booksellers in town and country,",004898568,T148702,CW102648069,K114954.000,CW3302648069
"The natural history of British shells: ... By E. Donovan, ...","Donovan, E. (Edward), 1768-1837.",1799-1803.,London :,"printed for the author, and for F. and C. Rivington,",004797759,T26350,CW108527500,K032080.004,CW3308362267
"Natural history: general and particular, by the Count de Buffon, translated into English. Illustrated with above 260 copper-plates, and occasional notes and observations by the translator.","Buffon, Georges Louis Leclerc, comte de, 1707-1788.",1780-85.,Edinburgh :,"printed for William Creech,",004880992,T121678,CW107061039,K097310.001,CW3308408431
"An essay on the means of lessening the effects of fire on the human body, by James Earle, Esq; F.R.S.:","Earle, James, Sir, 1755-1817.",1799.,London :,"printed by C. Clarke. And sold by Johnson; and Faulder,",004802264,T33382,CW109039860,K036086.000,CW3309039860
"The history of the decline and fall of the Roman Empire: By Edward Gibbon, Esq; ...","Gibbon, Edward, 1737-1794.",1783.,London :,"printed for W. Strahan; and T. Cadell,",004848826,T78366,CW100611167,K065082.003,CW3300410143
"Geometry no friend to infidelity: or, a defence of Sir Isaac Newton and the British mathematicians, in a letter to the author of The analyst. ... By Philalethes Cantabrigiensis:","Jurin, James, 1684-1750.",1734.,London :,"printed for T. Cooper,",004849348,T79310,CW106847671,K065605.000,CW3306847671
"An essay on cutaneous diseases, and all impurities of the skin. Proposing a specific, and, method of cure. By John Gowland,:","Gowland, John, d. 1776.",[1792?],London :,"printed for the proprietors, and sold by Mr. Johnson, and Mr. Murray,",004835034,T58323,CW107111340,K051252.000,CW3307111340
"Cursory remarks on Mr. Gilbert's last bill: for the better relief, and employment of the poor, &c. and his considerations thereon: in a letter to that gentleman. By H. Bate Dudley, ...","Dudley, H. Bate, Sir (Henry Bate), 1745-1824.",1788.,London :,"printed for J. Debrett,",004781096,N29027,CW107380126,K015686.000,CW3307380126
Rosamond: An opera. Humbly inscrib'd to Her Grace the Dutchess of Marlborough.,"Addison, Joseph, 1672-1719.",1707.,London :,"printed for Jacob Tonson,",004772238,N12938,CW110220553,K007970.000,CW3310220553
"A supplement to the tour through Great-Britain: containing a catalogue of the antiquities, houses, parks, plantations, ... by the late Mr. Gray, ... To which are now added, by another hand, several additions; ...","Gray, Thomas, 1716-1771.",1787.,London :,"printed for G. Kearsley,",004779325,N24802,CW102050193,K014182.000,CW3302050193
An essay on the manners and genius of the literary character: By I. D'Israeli.,"Disraeli, Isaac, 1766-1848.",1795.,London :,"printed for T. Cadell, Junr. and W. Davies,",004871875,T109852,CW112514981,K088170.000,CW3312514981
"Miscellanies; or, literary recreations. By I. D'Israeli:","Disraeli, Isaac, 1766-1848.",1796.,London :,"printed for T. Cadell and W. Davies,",004871723,T109605,CW115655155,K088018.000,CW3315655155
"The rival sisters: A tragedy. Adapted for theatrical representation, as performed at the Theatre-Royal, Drury-Lane. Regulated from the prompt-book, ...","Murphy, Arthur, 1727-1805.",1793.,London :,"printed by John Bell,",004772227,N12927,CW114297155,K007960.000,CW3314297155
"The Tatler: By the Right Honourable Joseph Addison, Esq;.","Addison, Joseph, 1672-1719.",1754.,Glasgow :,"printed by Robert Urie,",004786805,N63224,CW117266047,K019244.000,CW3317266047
"Sober advice from Horace: to the young gentlemen about town. As deliver'd in his second sermon. Imitated in the manner of Mr. Pope. Together with the original text, as restored by the Rev'd. R. Bentley ... And some remarks on the version.","Pope, Alexander, 1688-1744.",[1734],London :,"printed for T. Boreman; sold by the booksellers of London and Westminster,",004809329,T5748,CW111149665,K023192.000,CW3311149665
"Mr. Sheridan's argument in the case of Daly against Magee, on a motion to discharge the defendant on common bail:","Sheridan, Richard, d. 1793.",[1790],[Dublin] :,"London printed, and Dublin re-printed for J. Moore,",004815612,T171024,CW124304509,K119722.000,CW3324304509
The history of Jack Connor.:,"Chaigneau, William, 1709-1781.",1753.,London :,"printed for W. Johnston,",004841294,T66943,CW102115713,K057526.002,CW3302116007
The history of Tom White: the postilion. Part I.,"More, Hannah, 1745-1833.",[1795],[London] :,"Sold by J. Marshall, and R. White, London. By S. Hazard, at Bath,",004804145,T36557,CW117057869,K037936.000,CW3317057869
Advice to the Tories who have taken the oaths:,"Berkeley, George, 1685-1753.",1715.,London :,"printed by R. Baldwin; and sold by R. Burleigh,",004846838,T75092,CW103981736,K063086.000,CW3303981736
"The case of impotency as debated in England: in that remarkable tryal an. 1613. between Robert, Earl of Essex, and the Lady Frances Howard, who, after eight years marriage, commenc'd a suit against him for impotency. ... Written by George Abbot, ... In two volumes.","Abbot, George, 1562-1633.",1715.,London :,"printed for E. Curll,",004847628,T76337,CW123947261,K063883.001,CW3323947261
"True-blue; or, the press-gang, a musical interlude: as revived at the Theatre-Royal in Covent-Garden:","Carey, Henry, 1687?-1743.",[1770],London :,"printed in the year 1770. Sold by J. Bell; J. Cooper, printer; and at the Theatre,",004816880,T176613,CW107934971,K120993.000,CW3307934971
Epistles philosophical and moral:,"Kenrick, W. (William), 1725?-1779.",1759.,London :,"printed for T. Wilcox,",004869241,T106497,CW118356422,K085532.000,CW3318356422
"Some objections humbly offered to the consideration of the Hon. House of Commons, relating to the present intended relief of prisoners:","Defoe, Daniel, 1661?-1731.",1729.,London :,"printed for R. Walker, E. Nutt, and sold by the booksellers of London and Westminster,",004778798,N23621,CW106549672,K013728.000,CW3306549672
"The desert island: a dramatic poem, in three acts. As it is acted at the Theatre-Royal in Drury-Lane.","Murphy, Arthur, 1727-1805.",1760.,London :,"printed for Paul Vaillant,",004842750,T69038,CW109733325,K058986.000,CW3309733325
"A compleat treatise of urines, shewing the right method of urinal prognostication, far different from the common practice of quacks and mountebanks. By T.H. Pharmacop. Rustican:","Hicks, T.",1703.,London :,"printed for Henry Bonwicke,",004837594,T61971,CW107213523,K053821.000,CW3307213523
"An address to the public, on the treatment which the editor of the History of Sir Charles Grandison has met with from certain booksellers and printers in Dublin. Including observations on Mr. Faulkner's defence of himself, published in his Irish news-paper of Nov. 3. 1753:","Richardson, Samuel, 1689-1761.",1754.,London :,"printed [by Samuel Richardson] in the year,",004795325,T20496,CW110005592,K030050.000,CW3310005592
Anna St. Ives: a novel. By Thomas Holcroft. ...,"Holcroft, Thomas, 1745-1809.",1792.,London :,"printed for Shepperson and Reynolds,",004893876,T139809,CW110673864,K110238.006,CW3310674805
"The poetical and dramatic works of Oliver Goldsmith, M. B. Now first collected. With an account of the life and writings of the author. In two volumes:","Goldsmith, Oliver, 1730?-1774.",1780.,London :,"printed by H. Goldney, for Messieurs Rivington, T. Carnan and F. Newbery; T. Lowndes and G. Kearsley; T. Cadell and T. Evans,",004897252,T146132,CW113862888,K113633.002,CW3313863072
"Incognita: or, love and duty reconcil'd. A novel. By Mr. Congreve.","Congreve, William, 1670-1729.",1713.,London :,"printed for R. Wellington,",004787890,N7768,CW110100888,K004609.000,CW3310100888
"A dissertation on the King's evil: with some account of a medicine which ... has cured many of that disorder, ... and has been found effectual in other complaints, ... To which are added, the cases of many persons who have been cured, and a proposal highly meriting the consideration of the public.",,1763.,London :,"printed for J. Newbery,",004873608,T112279,CW106581829,K089911.000,CW3306581829
An epistle to the King of Sweden from a lady of Great-Britain:,"Centlivre, Susanna, 1667?-1723.",1717.,London :,"printed for J. Roberts, and Arabella Morris,",004798022,T26864,CW104465439,K032313.000,CW3304465439
"The natural history of birds: From the French of the Count de Buffon. Illustrated with engravings; and a preface, notes, and additions, by the translator. In nine volumes. ...","Buffon, Georges Louis Leclerc, comte de, 1707-1788.",1793.,London :,"printed for A. Strahan, and T. Cadell; and J. Murray,",004893396,T139140,CW109028249,K109756.003,CW3309873333
"Ode to the honourable William Pitt: By William Mason, M.A.","Mason, William, 1725-1797.",1782.,London :,"printed for J. Dodsley,",004807614,T41994,CW112997341,K041192.000,CW3312997341
"The history of religion: particularly of the principal denominations of Christians, ... Containing a succinct and genuine account of their original and present constitution, discipline, doctrines, worship, and ceremonies: ... By an impartial hand.","Murray, James, 1732-1782.",1764.,London :,"printed for C. Henderson; W. Nicoll; and J. Johnson,",004836775,T60863,CW122440565,K052994.001,CW3322440565
Remarks on Mr. Gilbert Wakefield's Enquiry into the expediency and propriety of public or social worship: By Anna Lætitia Barbauld.,"Barbauld, Mrs. (Anna Letitia), 1743-1825.",1792.,London :,"printed for J. Johnson,",004895897,T144231,CW105358191,K112277.000,CW3305358191
"The belle's stratagem: a comedy, as acted at the Theatre-Royal in Covent-Garden. By Mrs. Cowley.","Cowley, Mrs. (Hannah), 1743-1809.",1782.,London :,"printed for T. Cadell,",004795612,T2101,CW106674106,K021268.000,CW3306674106
Hearts of oak:,"Garrick, David, 1717-1779.",1776],"[Edinburgh?,",,004893488,T139270,CW113137829,K109848.000,CW3313137829
Proposals for recovering persons apparently dead by drowning and suffocation from other causes. Published by order of the Governors of the Dispensary:,Newcastle upon Tyne (England). Dispensary.,1789.,Newcastle :,"printed by S. Hodgson,",004849473,T79466,CW106570117,K065730.000,CW3306570117
"Introduction to Shakespeare's plays, containing an essay on oratory:","Gentleman, Francis, 1728-1784.",1773.,London :,"printed for John Bell; and C. Etherington, at York,",004909883,T6435,CW115648350,K023584.000,CW3315648350
"The natural history of birds: From the French of the Count de Buffon. Illustrated with engravings; and a preface, notes, and additions, by the translator. In nine volumes. ...","Buffon, Georges Louis Leclerc, comte de, 1707-1788.",1793.,London :,"printed for A. Strahan, and T. Cadell; and J. Murray,",004893396,T139140,CW109028249,K109756.002,CW3309028715
Royal fables. By Francis Gentleman:,"Gentleman, Francis, 1728-1784.",1766.,London :,"printed for T. Becket and P. A. de Hondt,",004860447,T95251,CW124578453,K076723.000,CW3324578453
Essays on the principles of morality and natural religion: In two parts.,"Kames, Henry Home, Lord, 1696-1782.",1751.,Edinburgh :,"printed by R. Fleming, for A. Kincaid and A. Donaldson,",004843595,T70373,CW117480881,K059833.000,CW3317480881
Douglas: a tragedy. As it is acted at the Theatre-Royal in Covent-Garden.,"Home, John, 1722-1808.",1757.,London :,"printed for A. Millar,",004803145,T34870,CW114475162,K036942.000,CW3314475162
"Pharmacomastix: or, the office, use, and abuse of apothecaries explained; ... By the author of the scheme on which the said statute was founded:","Lucas, Charles, 1713-1771.",1741.,Dublin :,"printed by S. Powell, for Abraham Bradley,",004838202,T62886,CW105763661,K054429.000,CW3305763661
"The happy prescription; or, the lady relieved from her lovers: a comedy, in rhyme. Written for a private theatre, by William Hayley, Esq.","Hayley, William, 1745-1820.",1785.,Calcutta :,"printed [by Joseph Cooper] in the year,",004857479,T90893,CW110072749,K073750.000,CW3310072749
"King Stephen's watch: A tale, founded on fact. By the author of the Heroic epistle to Sir William Chambers, Knt.","Mason, William, 1725-1797.",1782.,London :,"printed for T. Longman,",004771828,N12426,CW109995317,K007597.000,CW3309995317
"Law is a bottomless-pit: Exemplified in the case of the Lord Strutt, John Bull, Nicholas Frog, and Lewis Baboon. Who spent all they had in a law-suit. Printed from a manuscript found in the cabinet of the famous Sir Humphry Polesworth.","Arbuthnot, John, 1667-1735.",1712.,London :,"printed for John Morphew,",004771083,N11493,CW104631582,K006904.000,CW3304631582
"An enquiry into the exility of the vessels in a human body: wherein animal identity is explained, and shewn incommunicable to any individual throughout the whole species. By Clifton Wintrinham, jun.:","Wintringham, Clifton, 1689-1748.",1743.,London :,"printed for Thomas Osborne [solds by M. Cooper],",004835436,T59012,CW109035161,K051654.000,CW3309035161
"An historical tragedy of the civil wars: in the reign of King Henry VI. (Being a sequel to the Tragedy of Humfrey Duke of Gloucester: and a introduction to the Tragical history of King Richard III.) Alter'd from Shakespear, in the year 1720. By Theo. Cibber.","Cibber, Theophilus, 1703-1758.",[1723?],London :,"printed for J. Walthoe, Jun.; W. Chetwood; and J. Stagg: and sold by J. Roberts,",004804014,T36329,CW109972882,K037803.000,CW3309972882
Anna St. Ives: a novel. By Thomas Holcroft. ...,"Holcroft, Thomas, 1745-1809.",1792.,London :,"printed for Shepperson and Reynolds,",004893876,T139809,CW110673864,K110238.007,CW3310675041
"A treatise of the plague. Being an instruction how one ought to act, in relation, I. To apparel ... II. To diet. III. To antidotes ... IV. To such medicines, as are necessary ... By Eugenius Philalethes, jun:","Samber, Robert.",1721.,London :,"printed for James Holland; Luke Stokoe; Richard Montague; and John Sackfield,",004832166,T53878,CW107094129,K048382.000,CW3307094129
"A defence of the pamphlet ascribed to John Reeves, Esq. and entitled, ""Thoughts on the English government."" By the Rev. J. Brand, A.M. Addressed to the members of the loyal associations against Republicans and Levellers:","Brand, John, d. 1808.",1796.,London :,"printed for T. N. Longman, and J. Owen; and sold by all the booksellers at the Royal Exchange,",004790179,T1134,CW103836693,K020588.000,CW3303836693
"The dragon of Wantley: A burlesque opera. The musick by Mr. John Frederick Lampe, and performed at the Theatre-Royal in Covent-Garden. Moderniz'd from the old ballad after the Italian manner, by Sig. Carini.","Carey, Henry, 1687?-1743.",1737.,London :,"printed for J. Shuckburgh,",004834783,T57982,CW111547950,K051001.000,CW3311547950
"The speech of R. B. Sheridan: Esq. on summing up the second charge against Warren Hastings, Esq. Before the High Court of Parliament, in Westminster-Hall, Tuesday, June 3, 1788, and three subsequent days.","Sheridan, Richard Brinsley, 1751-1816.",1788.,London :,"sold by J. Dicrie; and by all the booksellers in London and Westminster,",004823694,T208380,CW124468092,K127859.000,CW3324468092
"The tragedy of Chrononhotonthologos: being the most tragical tragedy, that ever was tragediz'd by any company of tragedians. Written by Benjamin Bounce, Esq;.","Carey, Henry, 1687?-1743.",[1734],London :,"printed for J. Shuckburgh, and L. Gilliver, J. Jackson; and sold by A. Dodd, and E. Nutt,",004834793,T57992,CW115811076,K051011.000,CW3315811076
"A sermon, occasioned by the death of His late Majesty: Preached on the ninth of November. In the morning at Queen-Street chapel, and in the afternoon at St. Paul's, Covent-Garden. By the Revd. Thomas Francklin. ...","Francklin, Thomas, 1721-1784.",1760.,London :,"printed for R. Francklin,",004841819,T67699,CW119146294,K058052.000,CW3319146294
"To the Right Honourable the Mayor and aldermen of the City of London: the humble petition of the colliers, cooks, cook-maids, black-smiths, jack-makers, brasiers, and others, sheweth:","Arbuthnot, John, 1667-1735.",1716],[London :,"printed for J. Roberts, at the Oxford-Arms in Warwick-Lane,",004810040,T8242,CW104581684,K023997.000,CW3304581684
The rape of the lock: An heroi-comical poem. In five canto's. Written by Mr. Pope.,"Pope, Alexander, 1688-1744.",1714.,London :,"printed for Bernard Lintott,",004809311,T5726,CW111212958,K023176.000,CW3311212958
