File,TITLE,AUTHOR,Gender (manual),DATE,PUBPLACE,PUBLISHER,DLPS,ESTC,DocNo,TCP,GaleDocNo
unedited_hdrs.ecco,"The mysteries of Udolpho: a romance; interspersed with some pieces of poetry. By Ann Radcliffe, ... In four volumes. ...","Radcliffe, Ann Ward, 1764-1823.",female,1794.,London :,"printed for G. G. and J. Robinson,",004837676,T62063,CW110966035,K053903.003,CW3311650827
unedited_hdrs.ecco,"The mysteries of Udolpho: a romance; interspersed with some pieces of poetry. By Ann Radcliffe, ... In four volumes. ...","Radcliffe, Ann Ward, 1764-1823.",female,1794.,London :,"printed for G. G. and J. Robinson,",004837676,T62063,CW110966035,K053903.002,CW3311946289
unedited_hdrs.ecco,"The pedlar: A miscellany, in prose and verse, by C. I. Pitt. Author of the age a satire, ...","Dibdin, Charles, 1768-1833.",male,1796.,London :,"printed for Harrison & Co.,",004817121,T177428,CW115499849,K121233.000,CW3315499849
unedited_hdrs.ecco,"My night-gown and slippers: or tales in verse. Written in an elbow-chair, by George Colman, the younger.","Colman, George, 1762-1836.",male,1797.,London :,"printed for T. Cadell, jun. and W. Davies,",004852614,T84470,CW117026571,K068880.000,CW3317026571
unedited_hdrs.ecco,The history of Scotland from the accession of the House of Stuart to that of Mary. With appendixes of original papers. By John Pinkerton. In two volumes.:,"Pinkerton, John, 1758-1826.",male,1797.,London :,"printed [by Bye and Law] for C. Dilly,",004860427,T95226,CW101064974,K076702.002,CW3301065506
unedited_hdrs.ecco,"The mountaineers: a play, in three acts, as performed at the Theatre Royal, Hay-Market.","Colman, George, 1762-1836.",male,1794.,London :,"printed for the curious, and not sold by the booksellers in general,",004859455,T93793,CW113392061,K075728.000,CW3313392061
unedited_hdrs.ecco,"Some particulars of the life of the late George Colman, Esq. Written by himself, and delivered by him to Richard Jackson, ... for publication after his decease:","Colman, George, 1732-1794.",male,1795.,[London] :,"Printed for T. Cadell, jun. and W. Davies, (successors to Mr. Cadell),",004902560,T49331,CW117402533,K045733.000,CW3317402533
unedited_hdrs.ecco,"Travels in Switzerland: and in the country of the Grisons: in a series of letters to William Melmoth, Esq. from William Coxe, ...","Coxe, William, 1747-1828.",male,1794.,London :,"printed for T. Cadell,",004889790,T133962,CW102419783,K106130.001,CW3302419783
unedited_hdrs.ecco,"The Cherokee: an opera, as performed at the Theatre-Royal, Drury-Lane. By the author of The haunted tower.","Cobb, James, 1756-1818.",male,1795.,London :,"printed in the year,",004800280,T30558,CW110560773,K034294.000,CW3310560773
unedited_hdrs.ecco,"An abridgment of the letter of the Right Honourable Edmund Burke to a gentleman in Paris, on the revolution in France:","Burke, Edmund, 1729-1797.",male,1791.,London :,"printed for J. Debrett,",004898492,T148217,CW102500218,K114877.000,CW3302500218
unedited_hdrs.ecco,"The pastoral care. By the late Alexander Gerard, D.D. ... Published by his son and successor, Gilbert Gerard,:","Gerard, Alexander, 1728-1795.",male,1799.,London :,"printed for T. Cadell jun. and W. Davies; and A. Brown, at Aberdeen,",004857856,T91358,CW118680977,K074127.000,CW3318680977
unedited_hdrs.ecco,"Travels in Switzerland: and in the country of the Grisons: in a series of letters to William Melmoth, Esq. from William Coxe, ...","Coxe, William, 1747-1828.",male,1794.,London :,"printed for T. Cadell,",004889790,T133962,CW102419783,K106130.002,CW3302420320
unedited_hdrs.ecco,"The box-lobby challenge, a comedy: As performed at the Theatre-Royal, Hay-Market. Written by Richard Cumberland, Esq.","Cumberland, Richard, 1732-1811.",male,[1794],London :,"printed for J. Debrett,",004799757,T29575,CW106672637,K033846.000,CW3306672637
unedited_hdrs.ecco,"A plan for the conduct of female education: in boarding schools. By Erasmus Darwin, ...","Darwin, Erasmus, 1731-1802.",male,1797.,Derby :,"printed by J. Drewry; for J. Johnson, London,",004872777,T110944,CW105595296,K089073.000,CW3305595296
unedited_hdrs.ecco,"Essays on philosophical subjects: By the late Adam Smith, ... To which is prefixed, An account of the life and writings of the author; by Dugald Stewart, ...","Smith, Adam, 1723-1790.",male,1795.,London :,"printed for T. Cadell Jun. and W. Davies (successors to Mr. Cadell); and W. Creech, Edinburgh,",004802365,T33499,CW121210948,K036177.000,CW3321210948
unedited_hdrs.ecco,"A farewell, for two years, to England. A poem. By Helen Maria Williams:","Williams, Helen Maria, 1762-1827.",female,1791.,London :,"printed for T. Cadell,",004842886,T69319,CW112283457,K059123.000,CW3312283457
unedited_hdrs.ecco,"Feudal times: or, the banquet-gallery : a drama, in two acts. First represented at the Theatre-Royal, Drury-Lane, on Saturday, Jan. 19th. 1799. Written by George Colman, the younger.","Colman, George, 1762-1836.",male,[1799],London :,"printed by T. Woodfall; for Messrs. Cadell and Davies,",004808621,T4690,CW117024816,K022556.000,CW3317024816
unedited_hdrs.ecco,On the duties of the young: By Dr. Blair.,"Blair, Hugh, 1718-1800.",male,1793.,Manchester :,"printed by G. Nicholson and Co. Sold by T. Knott; and Champante & Whitrow, London,",004810740,T9499,CW121156855,K024590.000,CW3321156855
unedited_hdrs.ecco,"Camilla: or, a picture of youth. By the author of Evelina and Cecilia. In six volumes. ...","Burney, Fanny, 1752-1840.",female,1796.,London :,"printed for the booksellers,",004820021,T187082,CW116796098,K124157.002,CW3316413207
unedited_hdrs.ecco,"The heir at law: a comedy, in five acts, as performed at the Theatre-Royal, Crow-Street, with universal applause. Written by George Colman, Esq.","Colman, George, 1762-1836.",male,1798.,Cork :,"printed for the booksellers,",004814107,T164364,CW107746051,K118213.000,CW3307746051
unedited_hdrs.ecco,An address to the opposers of the repeal of the Corporation and Test Acts:,"Barbauld, Mrs. (Anna Letitia), 1743-1825.",female,1790.,London :,"printed for J. Johnson,",004814085,T164252,CW105569934,K118191.000,CW3305569934
unedited_hdrs.ecco,"Miscellaneous works: of Edward Gibbon, Esquire. With memoirs of his life and writings, composed by himself: illustrated from his letters, with occasional notes and narrative, by John Lord Sheffield. In two volumes. ...","Gibbon, Edward, 1737-1794.",male,1796.,London :,"printed for A. Strahan, and T. Cadell Jun. and W. Davies, (successors to Mr. Cadell,),",004849601,T79696,CW124765769,K065858.002,CW3325015116
unedited_hdrs.ecco,"Camilla: or, a picture of youth. By the author of Evelina and Cecilia. In six volumes. ...","Burney, Fanny, 1752-1840.",female,1796.,London :,"printed for the booksellers,",004820021,T187082,CW116796098,K124157.003,CW3316413390
unedited_hdrs.ecco,"Camilla: or, a picture of youth. By the author of Evelina and Cecilia. In six volumes. ...","Burney, Fanny, 1752-1840.",female,1796.,London :,"printed for the booksellers,",004820021,T187082,CW116796098,K124157.001,CW3316796098
unedited_hdrs.ecco,"Civic sermons to the people. Number I. Nay, why even of yourselves, judge ye not what is right:","Barbauld, Mrs. (Anna Letitia), 1743-1825.",female,1792.,London :,"printed for J. Johnson,",004810637,T933,CW105353337,K020426.000,CW3305353337
unedited_hdrs.ecco,"Vaurien: or, sketches of the times: exhibiting views of the philosophies, religions, politics, literature, and manners of the age. In two volumes. ...","Disraeli, Isaac, 1766-1848.",male,1797.,London :,"printed for T. Cadell, junior, and W. Davies, (successors to Mr. Cadell); and J. Murray and S. Highley,",004848375,T77691,CW124565193,K064631.001,CW3324565193
unedited_hdrs.ecco,"The natural history of birds: From the French of the Count de Buffon. Illustrated with engravings; and a preface, notes, and additions, by the translator. In nine volumes. ...","Buffon, Georges Louis Leclerc, comte de, 1707-1788.",male,1793.,London :,"printed for A. Strahan, and T. Cadell; and J. Murray,",004893396,T139140,CW109028249,K109756.009,CW3309874901
unedited_hdrs.ecco,"The natural history of birds: From the French of the Count de Buffon. Illustrated with engravings; and a preface, notes, and additions, by the translator. In nine volumes. ...","Buffon, Georges Louis Leclerc, comte de, 1707-1788.",male,1793.,London :,"printed for A. Strahan, and T. Cadell; and J. Murray,",004893396,T139140,CW109028249,K109756.008,CW3309874410
unedited_hdrs.ecco,"Speculation: a comedy, in five acts. As performed at the Theatre-Royal, Covent-Garden. Written by Frederick Reynolds.","Reynolds, Frederick, 1764-1841.",male,1795.,London :,"printed for T. N. Longman,",004794412,T18523,CW110375876,K029298.000,CW3310375876
unedited_hdrs.ecco,Civic sermons to the people. Number II. From mutual wants springs mutual happiness:,"Barbauld, Mrs. (Anna Letitia), 1743-1825.",female,1792.,London :,"printed for J. Johnson,",004810648,T934,CW118281000,K020427.000,CW3318281000
unedited_hdrs.ecco,"Camilla: or, a picture of youth. By the author of Evelina and Cecilia. In six volumes. ...","Burney, Fanny, 1752-1840.",female,1796.,London :,"printed for the booksellers,",004820021,T187082,CW116796098,K124157.004,CW3316413594
unedited_hdrs.ecco,"The insects of Great Britain: systematically arranged, accurately engraved, and painted from nature, with the natural history of each species, ... The figures engraved ... by the author, W. Lewin, ... Vol.1.","Lewin, William, d. 1795.",male,1795.,London :,"printed for J. Johnson,",004897821,T146963,CW109060530,K114204.001,CW3309060530
unedited_hdrs.ecco,"An address to the dignitaries of the Church of England: by the Rev. James Murry, ...","Murray, James, 1732-1782.",male,1793?],"[London?,",,004795269,T20418,CW103826503,K029999.000,CW3303826503
unedited_hdrs.ecco,"Camilla: or, a picture of youth. By the author of Evelina and Cecilia. In six volumes. ...","Burney, Fanny, 1752-1840.",female,1796.,London :,"printed for the booksellers,",004820021,T187082,CW116796098,K124157.005,CW3316413760
unedited_hdrs.ecco,"Songs, duets, chorusses, &c. in the historical romance of The crusade. As performed at the Theatre-Royal, Covent-Garden:","Reynolds, Frederick, 1764-1841.",male,1790.,London :,"printed for T. Cadell,",004794418,T18529,CW113568645,K029304.000,CW3313568645
unedited_hdrs.ecco,An enquiry into the history of Scotland: preceding the reign of Malcom III. or the year 1056. Including the authentic history of that period. In two volumes. By John Pinkerton. ...,"Pinkerton, John, 1758-1826.",male,1789.,London :,"printed by John Nichols, for George Nicol; and John Bell, Edinburgh,",004890131,T134381,CW100609045,K106472.001,CW3300609045
unedited_hdrs.ecco,"Camilla: or, a picture of youth. By the author of Evelina and Cecilia. In six volumes. ...","Burney, Fanny, 1752-1840.",female,1796.,London :,"printed for the booksellers,",004820021,T187082,CW116796098,K124157.006,CW3316413935
hdrs2dat.ecco.201205,"Memoirs of his own life: by Tate Wilkinson, ... In four volumes. ...","Wilkinson, Tate, 1739-1803.",male,1790.,York :,"printed for the author, by Wilson, Spence, and Mawman; and sold by G. G. J. and J. Robinson; and T. and J. Egerton, London. Anno,",004887197,T130421,CW101728147,K103528.002,CW3301935496
hdrs2dat.ecco.201205,"Practical hints on opium considered as a poison: By R. Hamilton, ...","Hamilton, Robert, 1749-1830.",male,1790.,Ipswich :,"printed and sold by G. Jermyn,",004873660,T112342,CW106723587,K089963.000,CW3306723587
hdrs2dat.ecco.201205,The Princess of Zanfara: a dramatic poem.,"Hutchinson, William, 1732-1814.",male,1789.,London :,"printed for Mess. Wilkie,",004845582,T73130,CW109732955,K061830.000,CW3309732955
hdrs2dat.ecco.201205,"Three essays: on picturesque beauty; on picturesque travel; and on sketching landscape: to which is added a poem, on landscape painting. By William Gilpin, ...","Gilpin, William, 1724-1804.",male,1792.,London :,"printed for R. Blamire,",004863369,T99006,CW106408718,K079648.000,CW3306408718
hdrs2dat.ecco.201205,"Plain directions for the treatment of wounds in general: With methods of stopping violent bleedings in cases of large wounds ... to which are added remarks on suspended animation, ... By Bernard Ogden, ...","Ogden, Bernard, b. 1767.",male,1797.,Sunderland :,"printed by T. Reed, bookseller,",004827525,T224552,CW109397067,K131806.000,CW3309397067
hdrs2dat.ecco.201205,"The prodigal. A dramatic piece. As performed at the Theatre-Royal, in the Hay-Market, December 2, 1793:","Waldron, F. G. (Francis Godolphin), 1744-1818.",initials,1794.,London :,"printed for T. Arrowsmith; and sold by B. Crosby,",004899540,T44546,CW113788839,K042710.000,CW3313788839
hdrs2dat.ecco.201205,"The golden age, a poetical epistle: from Erasmus D-n, M.D. to Thomas Beddoes, M.D.","Darwin, Erasmus, 1731-1802.",male,1794.,London :,"printed for F. and C. Rivington; and J. Cooke, Oxford,",004787540,N7154,CW116871934,K004299.000,CW3316871934
hdrs2dat.ecco.201205,"The genuine trial of Thomas Paine: for a libel contained in the second part of Rights of man; at Guildhall, London, Dec. 18, 1792, before Lord Kenyon and a special jury: ... Taken in short-hand by E. Hodgson.","Paine, Thomas, 1737-1809.",male,1792.,London :,"printed for J. S. Jordan,",004809443,T5894,CW124233556,K023296.000,CW3324233556
hdrs2dat.ecco.201205,"The natural history of British shells: ... By E. Donovan, ...","Donovan, E. (Edward), 1768-1837.",initials,1799-1803.,London :,"printed for the author, and for F. and C. Rivington,",004797759,T26350,CW108527500,K032080.004,CW3308362267
hdrs2dat.ecco.201205,"An essay on the means of lessening the effects of fire on the human body, by James Earle, Esq; F.R.S.:","Earle, James, Sir, 1755-1817.",male,1799.,London :,"printed by C. Clarke. And sold by Johnson; and Faulder,",004802264,T33382,CW109039860,K036086.000,CW3309039860
hdrs2dat.ecco.201205,"An essay on cutaneous diseases, and all impurities of the skin. Proposing a specific, and, method of cure. By John Gowland,:","Gowland, John, d. 1776.",male,[1792?],London :,"printed for the proprietors, and sold by Mr. Johnson, and Mr. Murray,",004835034,T58323,CW107111340,K051252.000,CW3307111340
hdrs2dat.ecco.201205,An essay on the manners and genius of the literary character: By I. D'Israeli.,"Disraeli, Isaac, 1766-1848.",male,1795.,London :,"printed for T. Cadell, Junr. and W. Davies,",004871875,T109852,CW112514981,K088170.000,CW3312514981
hdrs2dat.ecco.201205,"Miscellanies; or, literary recreations. By I. D'Israeli:","Disraeli, Isaac, 1766-1848.",male,1796.,London :,"printed for T. Cadell and W. Davies,",004871723,T109605,CW115655155,K088018.000,CW3315655155
hdrs2dat.ecco.201205,"The rival sisters: A tragedy. Adapted for theatrical representation, as performed at the Theatre-Royal, Drury-Lane. Regulated from the prompt-book, ...","Murphy, Arthur, 1727-1805.",male,1793.,London :,"printed by John Bell,",004772227,N12927,CW114297155,K007960.000,CW3314297155
hdrs2dat.ecco.201205,The history of Tom White: the postilion. Part I.,"More, Hannah, 1745-1833.",female,[1795],[London] :,"Sold by J. Marshall, and R. White, London. By S. Hazard, at Bath,",004804145,T36557,CW117057869,K037936.000,CW3317057869
hdrs2dat.ecco.201205,Anna St. Ives: a novel. By Thomas Holcroft. ...,"Holcroft, Thomas, 1745-1809.",male,1792.,London :,"printed for Shepperson and Reynolds,",004893876,T139809,CW110673864,K110238.006,CW3310674805
hdrs2dat.ecco.201205,"The natural history of birds: From the French of the Count de Buffon. Illustrated with engravings; and a preface, notes, and additions, by the translator. In nine volumes. ...","Buffon, Georges Louis Leclerc, comte de, 1707-1788.",male,1793.,London :,"printed for A. Strahan, and T. Cadell; and J. Murray,",004893396,T139140,CW109028249,K109756.003,CW3309873333
hdrs2dat.ecco.201205,Remarks on Mr. Gilbert Wakefield's Enquiry into the expediency and propriety of public or social worship: By Anna Lætitia Barbauld.,"Barbauld, Mrs. (Anna Letitia), 1743-1825.",female,1792.,London :,"printed for J. Johnson,",004895897,T144231,CW105358191,K112277.000,CW3305358191
hdrs2dat.ecco.201205,Proposals for recovering persons apparently dead by drowning and suffocation from other causes. Published by order of the Governors of the Dispensary:,Newcastle upon Tyne (England). Dispensary.,organization,1789.,Newcastle :,"printed by S. Hodgson,",004849473,T79466,CW106570117,K065730.000,CW3306570117
hdrs2dat.ecco.201205,"The natural history of birds: From the French of the Count de Buffon. Illustrated with engravings; and a preface, notes, and additions, by the translator. In nine volumes. ...","Buffon, Georges Louis Leclerc, comte de, 1707-1788.",male,1793.,London :,"printed for A. Strahan, and T. Cadell; and J. Murray,",004893396,T139140,CW109028249,K109756.002,CW3309028715
hdrs2dat.ecco.201205,Anna St. Ives: a novel. By Thomas Holcroft. ...,"Holcroft, Thomas, 1745-1809.",male,1792.,London :,"printed for Shepperson and Reynolds,",004893876,T139809,CW110673864,K110238.007,CW3310675041
hdrs2dat.ecco.201205,"A defence of the pamphlet ascribed to John Reeves, Esq. and entitled, ""Thoughts on the English government."" By the Rev. J. Brand, A.M. Addressed to the members of the loyal associations against Republicans and Levellers:","Brand, John, d. 1808.",male,1796.,London :,"printed for T. N. Longman, and J. Owen; and sold by all the booksellers at the Royal Exchange,",004790179,T1134,CW103836693,K020588.000,CW3303836693
hdrs2dat.ecco.201205,The female advocate: or an attempt to recover the rights of women from male usurpation. By Mary Anne Radcliffe.,"Radcliffe, Mary Ann, 1745?-1810.",female,1799.,London :,"printed for Vernor and Hood,",004883163,T124723,CW105122923,K099481.000,CW3305122923
hdrs2dat.ecco.201205,"The natural history of British shells: ... By E. Donovan, ...","Donovan, E. (Edward), 1768-1837.",initials,1799-1803.,London :,"printed for the author, and for F. and C. Rivington,",004797759,T26350,CW108527500,K032080.005,CW3308362386
hdrs2dat.ecco.201205,"The siege of Troy: or, famous Trojan horse, a grand heroic, ... spectacle, in two parts, ... as performing ... at the new amphitheatre of arts, Westminster-bridge, under the immediate direction ... of Mr. Astley, jun.","O'Keeffe, John, 1747-1833.",male,1795.,London :,"printed by H. Pace,",004778553,N23252,CW110734233,K013509.000,CW3310734233
hdrs2dat.ecco.201205,The view of Hindoostan.:,"Pennant, Thomas, 1726-1798.",male,1798-1800.,London :,"printed by Henry Hughs,",004897129,T145965,CW102877464,K113510.004,CW3302878475
hdrs2dat.ecco.201205,"A letter to George Washington: on the subject of the late treaty concluded between Great-Britain and the United States of America, including other matters. By Thomas Paine, ...","Paine, Thomas, 1737-1809.",male,1797.,London :,"Philadelphia printed. London: reprinted for T. Williams,",004809407,T5844,CW104144685,K023262.000,CW3304144685
hdrs2dat.ecco.201205,An essay on the suretiship of Christ. In two parts. Part I. The doctrine stated. Part II. Objections answered. By Samuel Richardson:,"Richardson, Samuel, d. 1805.",male,1796.,Chester :,"printed by C. W. Leadbeater, for the author; and sold by W. Button; T. Knott, London; Leadbeater, and the author, Chester; Morrison, Perth; and Gillies, Glasgow,",004818520,T182073,CW123417711,K122645.000,CW3323417711
hdrs2dat.ecco.201205,"A short account of the nature and properties of different kinds of airs: so far as relates to their medicinal use; intended as an introduction to the pneumatic method of treating diseases, ... By Richard Pearson, ...","Pearson, Richard, 1765-1836.",male,1795.,Birmingham :,"printed by Thomas Pearson. Sold by R. Baldwin, London,",004778073,N22487,CW108207236,K013093.000,CW3308207236
hdrs2dat.ecco.201205,"The lives of John Trueman, Richard Atkins, &c:","Gilpin, William, 1724-1804.",male,1793.,London :,"printed for R. Blamire,",004857184,T90495,CW120640638,K073454.000,CW3320640638
hdrs2dat.ecco.201205,"Zorinski: a play, in three acts: as performed at the Theatre Royal, Hay-Market. By Thomas Morton, ...","Morton, Thomas, 1764-1838.",male,1795.,London :,"printed by G. Woodfall, for T. N. Longman,",004833905,T56643,CW110070692,K050122.000,CW3310070692
hdrs2dat.ecco.201205,"Memoirs of his own life: by Tate Wilkinson, ... In four volumes. ...","Wilkinson, Tate, 1739-1803.",male,1790.,York :,"printed for the author, by Wilson, Spence, and Mawman; and sold by G. G. J. and J. Robinson; and T. and J. Egerton, London. Anno,",004887197,T130421,CW101728147,K103528.003,CW3301728409
hdrs2dat.ecco.201205,"The natural history of British insects: explaining them in their several states, with the periods of their transformations, their food, œconomy, &c. Together with the history of such minute insects as require investigation by the microscope. The whole illustrated by coloured figures, ... By E. Donovan.","Donovan, E. (Edward), 1768-1837.",initials,1792-1801.,London :,"printed for the author, and for F. and C. Rivington,",004861747,T96891,CW108360398,K078024.001,CW3308360398
