TITLE,AUTHOR,DATE,PUBPLACE,PUBLISHER,DLPS,ESTC,DocNo,TCP,GaleDocNo
"The diary of the late George Bubb Dodington: Baron of Melcombe Regis: from March 8, 1748-9, to February 6, 1761. With an appendix containing some curious and interesting papers, ... Now first published from His Lordship's original manuscripts. By Henry Penruddocke Wyndham.","Dodington, George Bubb, Baron of Melcombe Regis, 1691-1762.",1784.,Salisbury :,"printed and sold by E. Easton: sold also by G. and T. Wilkie, London,",004896280,T144753,CW102845900,K112661.000,CW3302845900
"Better late than never: a comedy. In five acts. As performed at the Theatre-Royal Drury-Lane. By Miles Peter Andrews, Esq.","Andrews, Miles Peter, d. 1814.",1790.,London :,"printed for J. Ridgway,",004796916,T2447,CW110780893,K021508.000,CW3310780893
The history of Emily Montague: By the author of Lady Julia Mandeville. ...,"Brooke, Frances, 1724?-1789.",1777.,London :,"printed for J. Dodsley,",004862637,T98080,CW116077840,K078914.001,CW3316077840
"The hermit: or, the unparalled [sic] sufferings and surprising adventures of Mr. Philip Quarll, an Englishman. Who was lately discovered by Mr. Dorrington a Bristol merchant, ...","Longueville, Peter, fl. 1727.",1727.,Westminster :,"printed by J. Cluer and A. Campbell for T. Warner and B. Creake,",004803913,T36149,CW112123274,K037704.000,CW3312123274
The Christian hero: a tragedy: As it is acted at the Theatre Royal in Drury-lane. By His Majesty's servants. By Mr. Lillo.,"Lillo, George, 1693-1739.",1735.,London :,"printed for John Gray,",004800345,T30654,CW106677023,K034353.000,CW3306677023
"The fairies. An opera: Taken from A midsummer night's dream, written by Shakespear. As it is perform'd at the Theatre-Royal in Drury-Lane. The songs from Shakespear, Milton, Waller, Dryden, Lansdown, Hammond, &c. The music composed by Mr. Smith.","Garrick, David, 1717-1779.",1755.,London :,"printed for J. and R. Tonson and S. Draper,",004803355,T35205,CW115366556,K037151.000,CW3315366556
"The works of Alexander Pope Esq. In nine volumes complete. With his last corrections, additions, and improvements; ... Together with the commentaries and notes of Mr. Warburton:","Pope, Alexander, 1688-1744.",1751.,London :,"printed for J. and P. Knapton, H. Lintot, J. and R. Tonson, and S. Draper,",004809055,T5432,CW115091181,K022939.004,CW3315092104
"Anticipation: (for the year MDCCLXXIX.) containing the substance of His M----y's most gracious speech to both H----s of P----l------t, on the opening of the approaching session. Together with a full and authentic account of the debate which will take place in the H--e of C---s:","Tickell, Richard, 1751-1793.",1779.,London :,"printed for S. Bladon,",004847283,T75772,CW104142267,K063533.000,CW3304142267
The sheep-shearing: a dramatic pastoral: In three acts. Taken from Shakespeare. As it is performed at the Theatre Royal in the Hay-Market.,"Colman, George, 1732-1794.",1777.,London :,"printed for G. Kearsly,",004838123,T62748,CW113906042,K054350.000,CW3313906042
"A word against a new election, that the people of England may see the happy difference between English liberty and French slavery;:","Defoe, Daniel, 1661?-1731.",1710.,[London] :,"Printed in the year,",004843909,T70864,CW108170986,K060152.000,CW3308170986
"An essay on the external use of water. In a letter to Dr. **** ... By T. Smollett, M.D:","Smollett, Tobias George, 1721-1771.",1752.,London :,"printed for M. Cooper; and sold by D. Wilson, and by Mess. Leake, and Frederick at Bath,",004833071,T55293,CW108288187,K049287.000,CW3308288187
"Observations concerning the nature and due method of treating the gout: for the use of my worthy friend, Richard Tennison, ... By Geo. Cheyne, M.D. ...","Cheyne, George, 1673-1743.",1720.,London :,"printed for G. Strahan; W. Mears, and H. Hammond, at the Bath,",004832883,T55025,CW109592619,K049099.000,CW3309592619
"The tryals of two causes, between Theophilus Cibber, gent. plaintiff, and William Sloper, Esq; defendant. The first for criminal conversation. The second, for detaining the plaintiff's wife:","Cibber, Theophilus, 1703-1758.",1740.,London :,"printed for T. Trott,",004799925,T2984,CW124435712,K021837.000,CW3324435712
"The works of Alexander Pope Esq. In nine volumes complete. With his last corrections, additions, and improvements; ... Together with the commentaries and notes of Mr. Warburton:","Pope, Alexander, 1688-1744.",1751.,London :,"printed for J. and P. Knapton, H. Lintot, J. and R. Tonson, and S. Draper,",004809055,T5432,CW115091181,K022939.006,CW3315092839
Legion's new paper: being a second memorial to the gentlemen of a late House of Commons. With Legion's humble address to His Majesty.,"Defoe, Daniel, 1661?-1731.",1702 [1701],London :,"printed; and sold by the booksellers of London and Westminster,",004844768,T71964,CW104361744,K061013.000,CW3304361744
"Love in a veil. A comedy: As it is acted at the Theatre Royal in Drury-Lane, ... Written by Richard Savage, ...","Savage, Richard, d. 1743.",1719.,London :,"printed for E. Curll; and R. Francklin; and W. Chetwood,",004884082,T125843,CW110560688,K100401.000,CW3310560688
"The village lawyer: a farce, in two acts, as performed at the Theatres Royal in London and Dublin, with universal applause.","Colman, George, 1732-1794.",1792.,Dublin :,"printed by T. McDonnel,",004892547,T138044,CW110375715,K108900.000,CW3310375715
"The history of England: from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ...","Hume, David, 1711-1776.",1763.,London :,"printed for A. Millar,",004851124,T82469,CW100229577,K067385.002,CW3300230122
Dr. Cheyne's own account of himself and of his writings: faithfully extracted from his various works. ...,"Cheyne, George, 1673-1743.",1743.,London :,"printed and sold by J. Wilford,",004831955,T53592,CW103139958,K048171.000,CW3303139958
The history of Emily Montague: By the author of Lady Julia Mandeville. ...,"Brooke, Frances, 1724?-1789.",1777.,London :,"printed for J. Dodsley,",004862637,T98080,CW116077840,K078914.003,CW3316078326
"The weakest go to the wall: or the dissenters sacrific'd by all parties: being a true state of the dissenters case, as it respects either high-church or low-church.","Defoe, Daniel, 1661?-1731.",1714.,London :,"printed for J. Baker,",004779574,N25300,CW118993043,K014401.000,CW3318993043
"Essays and treatises: on several subjects. By David Hume, Esq; In four volumes. ...","Hume, David, 1711-1776.",1760.,London :,"printed for A. Millar; and A. Kincaid and A. Donaldson, at Edinburgh,",004802356,T33490,CW117566940,K036168.002,CW3317567327
Reproof: a satire. The sequel to Advice:,"Smollett, Tobias George, 1721-1771.",1747.,London :,"printed for W. Owen; and M. Cooper,",004833140,T55365,CW112361614,K049356.000,CW3312361614
An essay on medals:,"Pinkerton, John, 1758-1826.",1784.,London :,"printed for James Dodsley,",004802226,T33328,CW102842508,K036054.000,CW3302842508
"A new family instructor: in familiar discourses between a father and his children, on the most essential points of the Christian religion. In two parts. Part I. Containing a father's instructions ... Part II. Instructions against the three grand errors ... With a poem upon the divine nature of Jesus Christ, in blank verse. By the author of The family instructor.","Defoe, Daniel, 1661?-1731.",1727.,London :,"printed for T. Warner,",004770113,N10264,CW120712014,K006002.000,CW3320712014
"The farce of The spoil'd child; in two acts. As performed at the Theatre-Royal, Smoke-Alley:","Bickerstaff, Isaac, 1735-1812.",[1792],[Dublin] :,"M,DCC,XCII. Printed for the booksellers,",004895070,T142186,CW115197808,K111445.000,CW3315197808
The mirror. A poetical essay. In the manner of Spenser:,"Arnold, Cornelius, 1711-1757?",1755.,[London] :,"anno,",004805919,T39413,CW113006788,K039684.000,CW3313006788
"The new Dunciad: as it was found in the year 1741. With the illustrations of Scriblerus, and notes variorum.","Pope, Alexander, 1688-1744.",1742.,London :,"printed for T. Cooper,",004809162,T5554,CW113824002,K023038.000,CW3313824002
"A hymn to peace: Occasion'd, by the two Houses joining in one address to the Queen. By the author of The true-born English-man.","Defoe, Daniel, 1661?-1731.",1706.,London :,"printed for John Nutt,",004840712,T66294,CW121967021,K056941.000,CW3321967021
The honest Yorkshire-man: A ballad farce. As it is perform'd at the theatres with universal applause.,"Carey, Henry, 1687?-1743.",1735.,London :,"printed for W. Feales,",004787599,N7239,CW110100098,K004351.000,CW3310100098
High life below stairs: A farce of two acts. As it is performed at the Theatre-Royal in Drury-Lane.,"Townley, James, 1714-1778.",1759.,London :,"printed for J. Newbery; R. Bailye, at Litchfield; J. Leake and W. Frederick, at Bath; B. Collins, at Salisbury, and S. Stabler at York,",004803949,T36198,CW112470135,K037740.000,CW3312470135
"Animadversions on the present government of the York Lunatic Asylum: in which the case of parish paupers is distinctly considered in a series of propositions. By W. Mason, M.A.","Mason, William, 1725-1797.",[1788],York :,"printed by W. Blanchard: sold by J. Todd, and the rest of the booksellers; also by J. Robson, London,",004861644,T96772,CW106200725,K077921.000,CW3306200725
"The danger of violent innovations in the state: exemplified from the reigns of the two first Stuarts, in a sermon preached at the cathedral and metropolitical Church of Christ, Canterbury, on Monday, Jan. 31, 1785, ... By George Berkeley, ...","Berkeley, George, 1733-1795.",1785.,Canterbury :,"printed and sold by Simmons and Kirkby; sold also by J. Johnson in London; Fletcher, Oxford; T. and J. Merrill, Cambridge; and Todd, York,",004895633,T143638,CW123379763,K112012.000,CW3323379763
"The case of impotency as debated in England: in that remarkable tryal an. 1613. between Robert, Earl of Essex, and the Lady Frances Howard, who, after eight years marriage, commenc'd a suit against him for impotency. ... Written by George Abbot, ... In two volumes.","Abbot, George, 1562-1633.",1715.,London :,"printed for E. Curll,",004847628,T76337,CW123947261,K063883.002,CW3323947462
"The dramatist: a comedy, in five acts. Written by - Reynolds, Esq. ... As performed at the Theatre Royal Smoke-Alley.","Reynolds, Frederick, 1764-1841.",[1790?],[Dublin] :,"Printed for the booksellers,",004813835,T163280,CW106666366,K117941.000,CW3306666366
"The farce of The village lawyer: In two acts. As performed at the Theatre-Royal, Smoke-Alley.","Colman, George, 1732-1794.",1792.,[Dublin] :,"M,DCC,XCII. Printed for the booksellers,",004833993,T56750,CW110242738,K050210.000,CW3310242738
"The present state of all nations: Containing a geographical, natural, commercial, and political history of all the countries in the known world. ... By T. Smollett, M.D.","Smollett, Tobias George, 1721-1771.",1768-69.,London :,"printed for R. Baldwin; W. Johnston; S. Crowder; and Robinson and Roberts,",004833136,T55361,CW100768590,K049352.008,CW3300536672
"The political history of the Devil: as well ancient as modern: in two parts. Part I. Containing a state of the Devil's circumstances, ... from his expulsion out of Heaven, to the creation of man; ... Part II. Containing his more private conduct, down to the present times: ...","Defoe, Daniel, 1661?-1731.",1726.,London :,"printed for T. Warner,",004843577,T70347,CW124605105,K059815.000,CW3324605105
"The poetical and dramatic works of Oliver Goldsmith, M. B. Now first collected. With an account of the life and writings of the author. In two volumes:","Goldsmith, Oliver, 1730?-1774.",1780.,London :,"printed by H. Goldney, for Messieurs Rivington, T. Carnan and F. Newbery; T. Lowndes and G. Kearsley; T. Cadell and T. Evans,",004897252,T146132,CW113862888,K113633.001,CW3313862888
"The history of religion: particularly of the principal denominations of Christians, ... Containing a succinct and genuine account of their original and present constitution, discipline, doctrines, worship, and ceremonies: ... By an impartial hand.","Murray, James, 1732-1782.",1764.,London :,"printed for C. Henderson; W. Nicoll; and J. Johnson,",004836775,T60863,CW122440565,K052994.002,CW3324529420
"The judgment-day, a poem: By Aaron Hill, Esq.","Hill, Aaron, 1685-1750.",[1721],London :,"printed for T. Jauncy,",004788022,N800,CW111924311,K000503.000,CW3311924311
Harcourt: a sentimental novel. In a series of letters. By the authoress of Evelina. ...,"Burney, Fanny, 1752-1840.",1780.,Dublin :,"printed for C. Jackson. By J. and R. Byrn,",004894044,T140056,CW113641316,K110407.002,CW3313641453
"The history of religion: particularly of the principal denominations of Christians, ... Containing a succinct and genuine account of their original and present constitution, discipline, doctrines, worship, and ceremonies: ... By an impartial hand.","Murray, James, 1732-1782.",1764.,London :,"printed for C. Henderson; W. Nicoll; and J. Johnson,",004836775,T60863,CW122440565,K052994.003,CW3322303750
"Memoirs of the Church of Scotland: in four periods. ... With an appendix, of some transactions since the Union.","Defoe, Daniel, 1661?-1731.",1717.,London :,"printed for Eman. Matthews, and T. Warner,",004842931,T69387,CW119978972,K059168.000,CW3319978972
"The succession of Spain consider'd: or, a view of the several interests of the princes and powers of Europe, as they respect the succession of Spain and the Empire.","Defoe, Daniel, 1661?-1731.",1711.,London :,"printed, and sold by J. Baker,",004779186,N24529,CW107656899,K014065.000,CW3307656899
"The adventures of Peregrine Pickle: In which are included, Memoirs of a lady of quality. In four volumes. ...","Smollett, Tobias George, 1721-1771.",1751.,London :,"printed for the author: and sold by D. Wilson,",004833119,T55344,CW113059663,K049335.004,CW3313060598
"The Italian: or the confessional of the black penitents. A romance. By Ann Radcliffe, ... In three volumes. ...","Radcliffe, Ann Ward, 1764-1823.",1797.,London :,"printed for T. Cadell Jun. and W. Davies (successors to Mr. Cadell),",004837677,T62064,CW111650033,K053904.003,CW3311650382
Congratulatory verses to Edward Biddle: gent. occasion'd by his Poem on the birth of the young prince. With some remarks ... By the old three.,"Amhurst, N. (Nicholas), 1697-1742.",1718.,London :,"printed for James Knapton; and sold by Stephen Kiblewhite, in Oxford,",004882700,T124081,CW113972180,K099018.000,CW3313972180
"The jubilee concert: or, the Warwickshire lad. Being, a collection of songs performed at the jubilee, in honour of Shakespear, at Stratford upon Avon, and at the Theatre Royal, Drury-Lane.","Garrick, David, 1717-1779.",[1769],[London] :,"Printed and sold in Stonecutter Street [by A. Sympson], Fleet Market,",004799583,T29245,CW116020646,K033686.000,CW3316020646
"The convocation: or, a battle of pamphlets. A poem. Written by Mr. Richard Savage:","Savage, Richard, d. 1743.",1717.,London :,"printed for E. Young; and sold by J. Morphew,",004838792,T63655,CW113246606,K055020.000,CW3313246606
"An essay on taste: By Alexander Gerard, ... With three dissertations on the same subject. By Mr. de Voltaire. Mr. d'Alembert, F.R.S. Mr. de Montesquieu.","Gerard, Alexander, 1728-1795.",1759.,London :,"printed for A. Millar, A. Kincaid and J. Bell, in Edinburgh,",004836654,T60731,CW120719822,K052873.001,CW3320719822
"A true and faithful account of the greatest wonder produced by nature these 3000 years: in the person of Mr. Jehan-Paul-Ernest Christian Lodovick Manpferdt; the surprizing centaur, who will be exhibited to the publick, on the first of next month, at the sign of the Golden cross at Charing-Cross.","Bentley, R. (Richard), 1708-1782.",[1751],[London] :,"Printed for M. Cooper, in Pater-noster-Row,",004881725,T122603,CW124664804,K098043.000,CW3324664804
"The British general: a poem, sacred to the memory of His Grace John, Duke of Marlborough. Inscribed to the Right Honourable William, Earl Cadogan. By N. Amhurst.","Amhurst, N. (Nicholas), 1697-1742.",1722.,London :,"printed for R. Francklin,",004799849,T29712,CW113962697,K033928.000,CW3313962697
The history of Emily Montague: By the author of Lady Julia Mandeville. ...,"Brooke, Frances, 1724?-1789.",1777.,London :,"printed for J. Dodsley,",004862637,T98080,CW116077840,K078914.002,CW3316078084
A sharp rebuke from one of the people called Quakers to Henry Sacheverell: the high-priest of Andrew's Holbourn. By the same Friend that wrote to Thomas Bradbury.,"Defoe, Daniel, 1661?-1731.",1715.,London :,"printed and sold by S. Keimer,",004834130,T56973,CW121273082,K050347.000,CW3321273082
"The history of England: from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ...","Hume, David, 1711-1776.",1763.,London :,"printed for A. Millar,",004851124,T82469,CW100229577,K067385.003,CW3300230668
"A letter of abuse, to D---d G-----k, Esq:","Colman, George, 1732-1794.",1757.,London :,"printed for J. Scott,",004789296,T10027,CW109749049,K024809.000,CW3309749049
An epistle (with a petition in it) to Sir John Blount: Bart. one of the directors of the South-Sea Company. By N. Amhurst.,"Amhurst, N. (Nicholas), 1697-1742.",1720.,London :,"printed for R. Francklin,",004859934,T94371,CW106145593,K076209.000,CW3306145593
"Isabella: or, the fatal marriage. A play. Alter'd from Southern. As it is now performing at the Theatre-Royal in Drury-Lane.","Garrick, David, 1717-1779.",1758.,Dublin :,"printed for J. Hoey, P. Wilson, and W. Slator [sic, for Sleator],",004788444,N8661,CW107747852,K005088.000,CW3307747852
"The succession to the crown of England, considered:","Defoe, Daniel, 1661?-1731.",1701.,London :,"printed in the year,",004834140,T56988,CW105120999,K050357.000,CW3305120999
"The Baron Kinkvervankotsdorsprakingatchdern: A new musical comedy. As performed at the Theatre-Royal in the Hay-Market. By Miles Peter Andrews, Esq.","Andrews, Miles Peter, d. 1814.",1781.,London :,"printed for T. Cadell,",004839180,T64205,CW110072555,K055409.000,CW3310072555
"The second-sighted Highlander. Being four visions of the eclypse, and something of what may follow:","Defoe, Daniel, 1661?-1731.",1715.,London :,"printed for J. Baker,",004831529,T53003,CW118418833,K047745.000,CW3318418833
Due preparations for the plague: as well for soul as body. Being some seasonable thoughts upon the visible approach of the present dreadful contagion in France; ...,"Defoe, Daniel, 1661?-1731.",1722.,London :,"printed for E. Matthews, and J. Batley,",004834069,T56889,CW117399741,K050286.000,CW3317399741
"Giving alms no charity, and employing the poor a grievance to the nation, being an essay upon this great question, whether work-houses, corporations, and houses of correction for employing the poor, ... are not mischievous to the nation,:","Defoe, Daniel, 1661?-1731.",1704.,London :,"printed, and sold by the booksellers of London and Westminster,",004834079,T56904,CW105436241,K050296.000,CW3305436241
"The choleric man: A comedy. As it is performed at the Theatre-Royal in Drury-Lane. By Richard Cumberland, Esq.","Cumberland, Richard, 1732-1811.",1775.,London :,"printed for T. Becket,",004800329,T30630,CW113793233,K034338.000,CW3313793233
"New brooms!: An occasional prelude, as it is performed at the Theatre-Royal, in Crow-Street. By George Colman.","Colman, George, 1732-1794.",1777.,Dublin :,"printed for Messrs. Price, Corcoran, W. Watson, Sheppard, J. Hoey, [and 14 others in Dublin],",004783818,N41820,CW106657655,K017528.000,CW3306657655
The authors of the town; a satire: inscribed to the author of The universal passion:,"Savage, Richard, d. 1743.",1725.,London :,"printed for J. Roberts,",004796648,T22810,CW110471078,K031223.000,CW3310471078
"The works of Alexander Pope Esq. In nine volumes complete. With his last corrections, additions, and improvements; ... Together with the commentaries and notes of Mr. Warburton:","Pope, Alexander, 1688-1744.",1751.,London :,"printed for J. and P. Knapton, H. Lintot, J. and R. Tonson, and S. Draper,",004809055,T5432,CW115091181,K022939.007,CW3315093311
"The person of quality's answer to Mr. Collier's letter, being a disswasive from the play-house. In which are inserted the apologies of a young lady, and young gentleman,:","Dennis, John, 1657-1734.",1704.,London :,"printed and are to be sold by the booksellers of London and Westminster,",004770836,N11099,CW112385925,K006678.000,CW3312385925
"Sentimental beauties and moral delineations from the writings of the celebrated Dr. Blair: and other much admired authors; selected with a view to refine the taste, rectify the judgment, and mould the heart to virtue.","Blair, Hugh, 1718-1800.",1782.,London :,"printed [by C. Etherington] for John Wallis,",004871586,T109446,CW117477584,K087881.000,CW3317477584
"Memoirs of the life of Sir John Dineley Goodere, Baronet, who was murdered by the contrivance of his own brother, on board the Ruby man of war, in King's Road, near Bristol, Jan. 19, 1740-1. Together wtth [sic] the life, history, trial, and last dying words of his brother Captain Samuel Goodere, ... Written by Samuel Foote, Esq; nephew to Sir John Dineley Goodere:","Foote, Samuel, 1720-1777.",,Worcester :,"printed and sold by J. Butler, and by James Grundy,[1785?]",004904714,T232363,CW125968998,K132895.000,CW3325968998
The deuce is in him: A farce of two acts. As it is performed at the Theatre Royal in Drury Lane.,"Colman, George, 1732-1794.",1763.,London :,"printed for T. Becket, and P.A. De Hondt; and T. Davies,",004798998,T28318,CW113654700,K033170.000,CW3313654700
Character of the late Lord Viscount Sackville:,"Cumberland, Richard, 1732-1811.",1785.,London :,"printed for C.Dilly,",004809280,T569,CW101030252,K020163.000,CW3301030252
The history of Tom Fool:,"Stevens, George Alexander, 1710-1784.",1760.,London :,"printed for T. Waller,",004844300,T71398,CW109701176,K060545.001,CW3309701176
The English merchant: a comedy. As it is acted at the Theatre-Royal in Drury-Lane. By George Colman.,"Colman, George, 1732-1794.",1767.,London :,"printed for T. Becket and P.A. De Hondt; and R. Baldwin,",004808615,T4682,CW110244536,K022551.000,CW3310244536
"Remarks upon several passages in the preliminaries to the Dunciad, ... And upon several passages in Pope's preface to his translation of Homer's Iliad. ... With original letters from Sir Richard Steele, ... Mr. Gildon, ... Mr. Jacob, and from Mr. Pope himself, ... By Mr. Dennis:","Dennis, John, 1657-1734.",1729.,London :,"printed for H. Whitridge,",004900920,T46876,CW112974608,K044091.000,CW3312974608
"The works of Alexander Pope Esq. In nine volumes complete. With his last corrections, additions, and improvements; ... Together with the commentaries and notes of Mr. Warburton:","Pope, Alexander, 1688-1744.",1751.,London :,"printed for J. and P. Knapton, H. Lintot, J. and R. Tonson, and S. Draper,",004809055,T5432,CW115091181,K022939.003,CW3315091743
"The works in verse and prose, of William Shenstone, Esq: most of which were never before printed. In two volumes, with decorations. ...","Shenstone, William, 1714-1763.",1764.,London :,"printed for R. and J. Dodsley,",004858494,T92444,CW114988158,K074765.002,CW3314988515
"The history of England: from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ...","Hume, David, 1711-1776.",1763.,London :,"printed for A. Millar,",004851124,T82469,CW100229577,K067385.007,CW3300868253
"A tour in Switzerland: or, a view of the present state of the governments and manners of those cantons: with comparative sketches of the present state of Paris. By Helen Maria Williams. ...","Williams, Helen Maria, 1762-1827.",1798.,London :,"printed for G. G. and J. Robinson,",004843690,T70499,CW100786420,K059928.002,CW3301502795
"The British theatre: Containing the lives of the English dramatic poets; with an account of all their plays. Together with the lives of most of the principal actors, as well as poets. To which is prefixed, a short view of the rise and progress of the English stage.","Chetwood, W. R. (William Rufus), d. 1766.",1750.,Dublin :,"printed for Peter Wilson,",004855732,T88605,CW109161264,K072001.000,CW3309161264
Odes by Mr. Mason:,"Mason, William, 1725-1797.",1756.,Cambridge :,"printed by J. Bentham; and sold by William Thurlbourn, and R. & J. Dodsley, London,",004770622,N10819,CW116607839,K006483.000,CW3316607839
The fribbleriad:,"Garrick, David, 1717-1779.",MDCCXLI[1761],London :,"printed for J. Coote,",004772663,N1355,CW111390744,K000834.000,CW3311390744
"Natural history: general and particular, by the Count de Buffon, translated into English. Illustrated with above 260 copper-plates, and occasional notes and observations by the translator.","Buffon, Georges Louis Leclerc, comte de, 1707-1788.",1780-85.,Edinburgh :,"printed for William Creech,",004880992,T121678,CW107061039,K097310.007,CW3307063036
"The bard: A pindaric poem, by Mr. Gray. Translated into Latin verse. To which is prefixed a Dedication to the genius of antient Britain.","Gray, Thomas, 1716-1771.",1775.,Chester :,"printed by Poole, Barker, and Co.,",004885463,T127835,CW114149678,K101784.000,CW3314149678
Strephon's revenge: a satire on the Oxford toasts. Inscrib'd to the author of Merton walks.,"Amhurst, N. (Nicholas), 1697-1742.",1718.,London :,"printed for R. Francklin: and sold by J. Bettenham,",004902133,T48740,CW112952890,K045305.000,CW3312952890
"An archaeological epistle to the Reverend and Worshipful Jeremiah Milles: ... editor of a superb edition of the poems of Thomas Rowley, priest. To which is annexed a glossary, extracted from that of the learned dean.","Mason, William, 1725-1797.",1782.,London :,"printed for J. Nichols; J. Walter; R. Faulder; E. Newbery; and J. Sewell,",004796404,T22356,CW110223292,K031013.000,CW3310223292
